det_crop,photo,gt_index,iou,conf,status
brooklyn__1__crop_001,brooklyn__1,1,0.9655,0.9758,TP
brooklyn__10__crop_001,brooklyn__10,2,0.8909,0.9652,TP
brooklyn__10__crop_002,brooklyn__10,1,0.9063,0.6477,TP
brooklyn__100__crop_001,brooklyn__100,1,0.9712,0.9619,TP
brooklyn__100__crop_002,brooklyn__100,,0.0,0.1009,FP
,brooklyn__100,2,0.0,,FN
brooklyn__11__crop_001,brooklyn__11,,0.0,0.4315,FP
brooklyn__11__crop_002,brooklyn__11,1,0.912,0.4003,TP
brooklyn__11__crop_003,brooklyn__11,,0.0,0.1651,FP
brooklyn__12__crop_001,brooklyn__12,1,0.9312,0.975,TP
brooklyn__12__crop_002,brooklyn__12,,0.0,0.4679,FP
brooklyn__12__crop_003,brooklyn__12,2,0.9384,0.1526,TP
brooklyn__13__crop_001,brooklyn__13,1,0.7534,0.9636,TP
brooklyn__13__crop_002,brooklyn__13,2,0.9532,0.9478,TP
brooklyn__14__crop_001,brooklyn__14,1,0.9399,0.9461,TP
brooklyn__14__crop_002,brooklyn__14,2,0.9588,0.925,TP
brooklyn__15__crop_001,brooklyn__15,2,0.673,0.936,TP
brooklyn__15__crop_002,brooklyn__15,1,0.9546,0.9289,TP
brooklyn__16__crop_001,brooklyn__16,1,0.8585,0.9451,TP
brooklyn__16__crop_002,brooklyn__16,2,0.8947,0.6706,TP
brooklyn__16__crop_003,brooklyn__16,,0.0,0.2601,FP
brooklyn__16__crop_004,brooklyn__16,,0.0,0.11,FP
,brooklyn__16,3,0.0,,FN
brooklyn__17__crop_001,brooklyn__17,1,0.9814,0.9729,TP
brooklyn__17__crop_002,brooklyn__17,2,0.9221,0.9098,TP
,brooklyn__17,3,0.0,,FN
brooklyn__18__crop_001,brooklyn__18,1,0.9225,0.9428,TP
brooklyn__18__crop_002,brooklyn__18,3,0.9759,0.9293,TP
brooklyn__18__crop_003,brooklyn__18,2,0.9238,0.392,TP
,brooklyn__18,4,0.0,,FN
brooklyn__19__crop_001,brooklyn__19,1,0.9399,0.9406,TP
brooklyn__2__crop_001,brooklyn__2,1,0.9508,0.9676,TP
brooklyn__2__crop_002,brooklyn__2,3,0.93,0.914,TP
brooklyn__2__crop_003,brooklyn__2,2,0.9479,0.1219,TP
brooklyn__20__crop_001,brooklyn__20,1,0.8469,0.47,TP
brooklyn__20__crop_002,brooklyn__20,,0.0,0.4371,FP
brooklyn__20__crop_003,brooklyn__20,2,0.6026,0.3722,TP
brooklyn__20__crop_004,brooklyn__20,,0.0,0.1688,FP
brooklyn__21__crop_001,brooklyn__21,1,0.9698,0.9517,TP
brooklyn__21__crop_002,brooklyn__21,2,0.8284,0.7423,TP
brooklyn__22__crop_001,brooklyn__22,1,0.936,0.8325,TP
brooklyn__22__crop_002,brooklyn__22,,0.0,0.485,FP
brooklyn__22__crop_003,brooklyn__22,,0.1342,0.4038,FP
brooklyn__22__crop_004,brooklyn__22,2,0.9462,0.3255,TP
brooklyn__22__crop_005,brooklyn__22,,0.0,0.2545,FP
brooklyn__23__crop_001,brooklyn__23,,0.3672,0.4407,FP
,brooklyn__23,1,0.0,,FN
brooklyn__24__crop_001,brooklyn__24,1,0.8824,0.9499,TP
,brooklyn__24,2,0.0,,FN
,brooklyn__24,3,0.0,,FN
,brooklyn__25,1,0.0,,FN
brooklyn__26__crop_001,brooklyn__26,1,0.9372,0.9634,TP
,brooklyn__26,2,0.0,,FN
brooklyn__27__crop_001,brooklyn__27,2,0.9639,0.9668,TP
brooklyn__27__crop_002,brooklyn__27,,0.0006,0.5959,FP
,brooklyn__27,1,0.0,,FN
brooklyn__28__crop_001,brooklyn__28,1,0.9341,0.9388,TP
brooklyn__28__crop_002,brooklyn__28,,0.0,0.7918,FP
brooklyn__29__crop_001,brooklyn__29,1,0.9503,0.9094,TP
brooklyn__3__crop_001,brooklyn__3,1,0.9745,0.9677,TP
brooklyn__30__crop_001,brooklyn__30,3,0.9234,0.9394,TP
brooklyn__30__crop_002,brooklyn__30,1,0.9474,0.7706,TP
brooklyn__30__crop_003,brooklyn__30,,0.0,0.1029,FP
,brooklyn__30,2,0.0,,FN
brooklyn__31__crop_001,brooklyn__31,2,0.9301,0.9552,TP
brooklyn__31__crop_002,brooklyn__31,,0.4725,0.6008,FP
brooklyn__31__crop_003,brooklyn__31,,0.0,0.4305,FP
,brooklyn__31,1,0.0,,FN
brooklyn__32__crop_001,brooklyn__32,3,0.9269,0.9563,TP
brooklyn__32__crop_002,brooklyn__32,,0.0,0.8923,FP
brooklyn__32__crop_003,brooklyn__32,1,0.9144,0.6349,TP
brooklyn__32__crop_004,brooklyn__32,2,0.89,0.4409,TP
brooklyn__33__crop_001,brooklyn__33,1,0.8877,0.8683,TP
brooklyn__34__crop_001,brooklyn__34,2,0.775,0.9127,TP
brooklyn__34__crop_002,brooklyn__34,1,0.8158,0.9113,TP
brooklyn__35__crop_001,brooklyn__35,1,0.7291,0.6953,TP
brooklyn__35__crop_002,brooklyn__35,,0.0,0.6625,FP
brooklyn__35__crop_003,brooklyn__35,,0.0,0.3211,FP
brooklyn__36__crop_001,brooklyn__36,1,0.902,0.94,TP
brooklyn__36__crop_002,brooklyn__36,2,0.9048,0.9386,TP
brooklyn__37__crop_001,brooklyn__37,1,0.9145,0.955,TP
