det_crop,photo,gt_index,iou,conf,status
brooklyn__1__crop_001,brooklyn__1,1,0.8548,0.9976,TP
brooklyn__1__crop_002,brooklyn__1,,0.0,0.4732,FP
brooklyn__10__crop_001,brooklyn__10,2,0.793,0.9967,TP
brooklyn__10__crop_002,brooklyn__10,1,0.8843,0.9856,TP
brooklyn__100__crop_001,brooklyn__100,1,0.793,0.9983,TP
brooklyn__100__crop_002,brooklyn__100,,0.0,0.9592,FP
,brooklyn__100,2,0.0,,FN
brooklyn__11__crop_001,brooklyn__11,1,0.8866,0.9986,TP
brooklyn__11__crop_002,brooklyn__11,,0.0,0.7412,FP
brooklyn__12__crop_001,brooklyn__12,1,0.971,0.9994,TP
brooklyn__12__crop_002,brooklyn__12,2,0.9196,0.9973,TP
brooklyn__12__crop_003,brooklyn__12,,0.0,0.9447,FP
brooklyn__13__crop_001,brooklyn__13,1,0.7056,0.9957,TP
brooklyn__13__crop_002,brooklyn__13,2,0.8268,0.9932,TP
brooklyn__14__crop_001,brooklyn__14,2,0.931,0.9948,TP
brooklyn__14__crop_002,brooklyn__14,1,0.8956,0.9884,TP
brooklyn__14__crop_003,brooklyn__14,,0.0,0.2583,FP
brooklyn__15__crop_001,brooklyn__15,1,0.937,0.9988,TP
brooklyn__15__crop_002,brooklyn__15,2,0.6948,0.9976,TP
brooklyn__16__crop_001,brooklyn__16,1,0.7717,0.9948,TP
brooklyn__16__crop_002,brooklyn__16,2,0.8519,0.9826,TP
brooklyn__16__crop_003,brooklyn__16,,0.0,0.2601,FP
,brooklyn__16,3,0.0,,FN
brooklyn__17__crop_001,brooklyn__17,2,0.8087,0.999,TP
brooklyn__17__crop_002,brooklyn__17,1,0.9367,0.9988,TP
brooklyn__17__crop_003,brooklyn__17,3,0.6315,0.9581,TP
brooklyn__18__crop_001,brooklyn__18,3,0.8911,0.9996,TP
brooklyn__18__crop_002,brooklyn__18,1,0.8518,0.9979,TP
brooklyn__18__crop_003,brooklyn__18,4,0.8627,0.702,TP
brooklyn__18__crop_004,brooklyn__18,2,0.6642,0.5233,TP
brooklyn__19__crop_001,brooklyn__19,1,0.8941,0.9959,TP
brooklyn__19__crop_002,brooklyn__19,,0.0,0.3744,FP
brooklyn__2__crop_001,brooklyn__2,3,0.8943,0.9983,TP
brooklyn__2__crop_002,brooklyn__2,2,0.855,0.9976,TP
brooklyn__2__crop_003,brooklyn__2,1,0.8697,0.9953,TP
brooklyn__2__crop_004,brooklyn__2,,0.0,0.5854,FP
brooklyn__20__crop_001,brooklyn__20,1,0.8404,0.9803,TP
brooklyn__20__crop_002,brooklyn__20,2,0.6779,0.9521,TP
brooklyn__21__crop_001,brooklyn__21,1,0.8899,0.9961,TP
brooklyn__21__crop_002,brooklyn__21,2,0.8922,0.9735,TP
brooklyn__21__crop_003,brooklyn__21,,0.0,0.8392,FP
brooklyn__21__crop_004,brooklyn__21,,0.0,0.7012,FP
brooklyn__21__crop_005,brooklyn__21,,0.0,0.3652,FP
brooklyn__22__crop_001,brooklyn__22,,0.1829,0.9331,FP
brooklyn__22__crop_002,brooklyn__22,1,0.936,0.8325,TP
brooklyn__22__crop_003,brooklyn__22,,0.0,0.485,FP
brooklyn__22__crop_004,brooklyn__22,,0.0,0.3876,FP
brooklyn__22__crop_005,brooklyn__22,2,0.9462,0.3255,TP
brooklyn__22__crop_006,brooklyn__22,,0.0,0.2545,FP
brooklyn__23__crop_001,brooklyn__23,,0.3587,0.9796,FP
brooklyn__23__crop_002,brooklyn__23,1,0.7091,0.901,TP
brooklyn__23__crop_003,brooklyn__23,,0.0,0.4705,FP
brooklyn__24__crop_001,brooklyn__24,1,0.8023,0.992,TP
,brooklyn__24,2,0.0,,FN
,brooklyn__24,3,0.0,,FN
brooklyn__25__crop_001,brooklyn__25,1,0.6846,0.9791,TP
brooklyn__25__crop_002,brooklyn__25,,0.0,0.9297,FP
brooklyn__25__crop_003,brooklyn__25,,0.0,0.6504,FP
