det_crop,photo,gt_index,iou,conf,status
gangnam__1__crop_001,gangnam__1,1,0.9494,0.9109,TP
gangnam__1__crop_002,gangnam__1,,0.0,0.7436,FP
gangnam__10__crop_001,gangnam__10,1,0.8614,0.8855,TP
gangnam__10__crop_002,gangnam__10,2,0.7988,0.266,TP
gangnam__100__crop_001,gangnam__100,1,0.9648,0.9642,TP
gangnam__11__crop_001,gangnam__11,2,0.9675,0.9575,TP
gangnam__11__crop_002,gangnam__11,1,0.9284,0.8327,TP
gangnam__12__crop_001,gangnam__12,1,0.6273,0.8949,TP
,gangnam__12,2,0.0,,FN
,gangnam__13,1,0.0,,FN
gangnam__14__crop_001,gangnam__14,,0.0412,0.4152,FP
,gangnam__14,1,0.0,,FN
gangnam__15__crop_001,gangnam__15,,0.0,0.4489,FP
gangnam__16__crop_001,gangnam__16,1,0.8642,0.5284,TP
,gangnam__16,2,0.0,,FN
,gangnam__17,1,0.0,,FN
,gangnam__17,2,0.0,,FN
gangnam__18__crop_001,gangnam__18,2,0.9061,0.9485,TP
gangnam__18__crop_002,gangnam__18,,0.2412,0.8702,FP
,gangnam__18,1,0.0,,FN
gangnam__19__crop_001,gangnam__19,1,0.9304,0.9644,TP
gangnam__2__crop_001,gangnam__2,1,0.9135,0.9693,TP
gangnam__20__crop_001,gangnam__20,1,0.8971,0.8088,TP
gangnam__20__crop_002,gangnam__20,,0.0,0.3003,FP
gangnam__21__crop_001,gangnam__21,1,0.8279,0.7344,TP
gangnam__22__crop_001,gangnam__22,2,0.9708,0.9822,TP
gangnam__22__crop_002,gangnam__22,1,0.9705,0.3599,TP
gangnam__23__crop_001,gangnam__23,,0.0,0.6276,FP
gangnam__23__crop_002,gangnam__23,1,0.957,0.5473,TP
gangnam__24__crop_001,gangnam__24,1,0.8181,0.9438,TP
gangnam__25__crop_001,gangnam__25,1,0.6639,0.8063,TP
gangnam__26__crop_001,gangnam__26,1,0.943,0.9474,TP
gangnam__27__crop_001,gangnam__27,1,0.9394,0.7219,TP
gangnam__28__crop_001,gangnam__28,1,0.8164,0.8839,TP
gangnam__29__crop_001,gangnam__29,1,0.961,0.9703,TP
gangnam__3__crop_001,gangnam__3,1,0.7522,0.8662,TP
gangnam__3__crop_002,gangnam__3,,0.0,0.4159,FP
gangnam__30__crop_001,gangnam__30,,0.0,0.3301,FP
,gangnam__30,1,0.0,,FN
gangnam__31__crop_001,gangnam__31,1,0.9389,0.9029,TP
gangnam__32__crop_001,gangnam__32,1,0.6913,0.9667,TP
gangnam__33__crop_001,gangnam__33,1,0.7141,0.4801,TP
gangnam__34__crop_001,gangnam__34,1,0.8262,0.8285,TP
,gangnam__35,1,0.0,,FN
,gangnam__35,2,0.0,,FN
,gangnam__35,3,0.0,,FN
,gangnam__35,4,0.0,,FN
,gangnam__35,5,0.0,,FN
,gangnam__35,6,0.0,,FN
gangnam__36__crop_001,gangnam__36,,0.0,0.896,FP
gangnam__37__crop_001,gangnam__37,1,0.8814,0.4755,TP
gangnam__38__crop_001,gangnam__38,1,0.9594,0.9404,TP
gangnam__39__crop_001,gangnam__39,1,0.7408,0.9556,TP
gangnam__4__crop_001,gangnam__4,1,0.9325,0.922,TP
gangnam__40__crop_001,gangnam__40,1,0.9688,0.8572,TP
gangnam__41__crop_001,gangnam__41,1,0.9744,0.6593,TP
gangnam__42__crop_001,gangnam__42,1,0.9532,0.8976,TP
gangnam__43__crop_001,gangnam__43,1,0.8656,0.8336,TP
gangnam__44__crop_001,gangnam__44,2,0.6024,0.8414,TP
gangnam__44__crop_002,gangnam__44,,0.0,0.4369,FP
,gangnam__44,1,0.0,,FN
gangnam__45__crop_001,gangnam__45,1,0.9425,0.98,TP
gangnam__45__crop_002,gangnam__45,,0.0,0.681,FP
gangnam__45__crop_003,gangnam__45,,0.0,0.4882,FP
gangnam__46__crop_001,gangnam__46,,0.0923,0.9343,FP
gangnam__46__crop_002,gangnam__46,,0.486,0.9173,FP
gangnam__46__crop_003,gangnam__46,,0.0814,0.8573,FP
,gangnam__46,1,0.0,,FN
gangnam__47__crop_001,gangnam__47,1,0.9553,0.8277,TP
gangnam__48__crop_001,gangnam__48,1,0.9428,0.9379,TP
gangnam__49__crop_001,gangnam__49,1,0.8754,0.9129,TP
gangnam__5__crop_001,gangnam__5,1,0.9419,0.9454,TP
,gangnam__5,2,0.0,,FN
,gangnam__5,3,0.0,,FN
,gangnam__50,1,0.0,,FN
gangnam__51__crop_001,gangnam__51,1,0.6469,0.7362,TP
gangnam__52__crop_001,gangnam__52,1,0.9607,0.8866,TP
gangnam__52__crop_002,gangnam__52,,0.0,0.7976,FP
gangnam__53__crop_001,gangnam__53,1,0.8683,0.306,TP
gangnam__54__crop_001,gangnam__54,2,0.9592,0.8136,TP
gangnam__54__crop_002,gangnam__54,1,0.9315,0.5613,TP
gangnam__54__crop_003,gangnam__54,,0.0,0.2511,FP
gangnam__55__crop_001,gangnam__55,2,0.9504,0.9527,TP
gangnam__55__crop_002,gangnam__55,1,0.8479,0.9415,TP
gangnam__55__crop_003,gangnam__55,,0.0,0.6297,FP
gangnam__55__crop_004,gangnam__55,3,0.9409,0.4626,TP
gangnam__56__crop_001,gangnam__56,2,0.9638,0.9453,TP
gangnam__56__crop_002,gangnam__56,1,0.9561,0.6134,TP
gangnam__57__crop_001,gangnam__57,2,0.9671,0.9709,TP
gangnam__57__crop_002,gangnam__57,1,0.9727,0.9431,TP
gangnam__58__crop_001,gangnam__58,1,0.9034,0.9572,TP
gangnam__58__crop_002,gangnam__58,2,0.9253,0.9037,TP
gangnam__59__crop_001,gangnam__59,2,0.909,0.9805,TP
gangnam__59__crop_002,gangnam__59,1,0.8489,0.9445,TP
gangnam__59__crop_003,gangnam__59,3,0.8857,0.8072,TP
gangnam__6__crop_001,gangnam__6,1,0.9563,0.9081,TP
gangnam__60__crop_001,gangnam__60,1,0.9367,0.9546,TP
gangnam__61__crop_001,gangnam__61,2,0.8343,0.9575,TP
