det_crop,photo,gt_index,iou,conf,status
gangnam__1__crop_001,gangnam__1,1,0.825,0.9934,TP
gangnam__1__crop_002,gangnam__1,,0.0,0.7436,FP
gangnam__1__crop_003,gangnam__1,,0.0,0.2538,FP
gangnam__10__crop_001,gangnam__10,2,0.6878,0.9807,TP
gangnam__10__crop_002,gangnam__10,1,0.7312,0.9744,TP
gangnam__100__crop_001,gangnam__100,1,0.9302,0.9989,TP
gangnam__100__crop_002,gangnam__100,,0.0,0.5669,FP
gangnam__100__crop_003,gangnam__100,,0.0,0.2586,FP
gangnam__11__crop_001,gangnam__11,2,0.8366,0.9988,TP
gangnam__11__crop_002,gangnam__11,1,0.9215,0.9967,TP
gangnam__11__crop_003,gangnam__11,,0.0,0.9706,FP
gangnam__11__crop_004,gangnam__11,,0.0,0.494,FP
gangnam__12__crop_001,gangnam__12,1,0.9294,0.8949,TP
,gangnam__12,2,0.0,,FN
gangnam__13__crop_001,gangnam__13,,0.2725,0.8344,FP
,gangnam__13,1,0.0,,FN
gangnam__14__crop_001,gangnam__14,1,0.5069,0.982,TP
gangnam__14__crop_002,gangnam__14,,0.0564,0.9376,FP
gangnam__14__crop_003,gangnam__14,2,0.8843,0.8965,TP
gangnam__15__crop_001,gangnam__15,1,0.53,0.7585,TP
gangnam__15__crop_002,gangnam__15,,0.0,0.4489,FP
gangnam__16__crop_001,gangnam__16,2,0.8111,0.992,TP
gangnam__16__crop_002,gangnam__16,1,0.8331,0.9904,TP
gangnam__16__crop_003,gangnam__16,,0.0,0.8608,FP
gangnam__16__crop_004,gangnam__16,,0.0,0.5202,FP
gangnam__17__crop_001,gangnam__17,1,0.8866,0.8721,TP
,gangnam__17,2,0.0,,FN
,gangnam__17,3,0.0,,FN
gangnam__18__crop_001,gangnam__18,2,0.8169,0.9948,TP
gangnam__18__crop_002,gangnam__18,,0.2412,0.8702,FP
,gangnam__18,1,0.0,,FN
gangnam__19__crop_001,gangnam__19,1,0.84,0.9977,TP
gangnam__2__crop_001,gangnam__2,1,0.8894,0.9988,TP
gangnam__20__crop_001,gangnam__20,1,0.9406,0.9944,TP
gangnam__20__crop_002,gangnam__20,,0.0,0.2574,FP
gangnam__21__crop_001,gangnam__21,1,0.8176,0.9718,TP
gangnam__22__crop_001,gangnam__22,2,0.883,0.9978,TP
gangnam__22__crop_002,gangnam__22,1,0.8533,0.9922,TP
gangnam__23__crop_001,gangnam__23,1,0.8648,0.9934,TP
gangnam__23__crop_002,gangnam__23,,0.0,0.6276,FP
gangnam__23__crop_003,gangnam__23,,0.0,0.2793,FP
gangnam__24__crop_001,gangnam__24,1,0.8096,0.9978,TP
gangnam__25__crop_001,gangnam__25,1,0.6639,0.8063,TP
gangnam__26__crop_001,gangnam__26,1,0.902,0.9836,TP
gangnam__27__crop_001,gangnam__27,1,0.9427,0.9973,TP
gangnam__27__crop_002,gangnam__27,,0.0,0.4944,FP
gangnam__28__crop_001,gangnam__28,1,0.7306,0.9952,TP
gangnam__28__crop_002,gangnam__28,,0.0,0.2972,FP
gangnam__29__crop_001,gangnam__29,1,0.8596,0.9895,TP
gangnam__3__crop_001,gangnam__3,1,0.5613,0.9681,TP
gangnam__3__crop_002,gangnam__3,,0.0,0.8281,FP
gangnam__3__crop_003,gangnam__3,,0.0,0.4159,FP
gangnam__30__crop_001,gangnam__30,,0.0,0.9771,FP
gangnam__30__crop_002,gangnam__30,,0.3376,0.6954,FP
,gangnam__30,1,0.0,,FN
gangnam__31__crop_001,gangnam__31,1,0.8886,0.9954,TP
gangnam__31__crop_002,gangnam__31,,0.0,0.7591,FP
gangnam__31__crop_003,gangnam__31,,0.0,0.61,FP
gangnam__31__crop_004,gangnam__31,,0.0,0.4301,FP
gangnam__32__crop_001,gangnam__32,1,0.7405,0.9942,TP
gangnam__33__crop_001,gangnam__33,1,0.7467,0.9957,TP
gangnam__33__crop_002,gangnam__33,,0.0,0.6631,FP
gangnam__34__crop_001,gangnam__34,,0.1748,0.9608,FP
gangnam__34__crop_002,gangnam__34,1,0.8262,0.8285,TP
gangnam__34__crop_003,gangnam__34,,0.0,0.6272,FP
gangnam__34__crop_004,gangnam__34,,0.0,0.6231,FP
gangnam__36__crop_001,gangnam__36,,0.3383,0.9986,FP
,gangnam__36,1,0.0,,FN
,gangnam__36,2,0.0,,FN
,gangnam__36,3,0.0,,FN
gangnam__37__crop_001,gangnam__37,1,0.8026,0.9757,TP
gangnam__37__crop_002,gangnam__37,,0.0,0.9627,FP
gangnam__38__crop_001,gangnam__38,1,0.87,0.9871,TP
gangnam__38__crop_002,gangnam__38,,0.0,0.762,FP
gangnam__38__crop_003,gangnam__38,,0.0,0.5858,FP
gangnam__38__crop_004,gangnam__38,,0.0,0.443,FP
gangnam__39__crop_001,gangnam__39,1,0.6892,0.9985,TP
gangnam__4__crop_001,gangnam__4,1,0.8299,0.9907,TP
