det_crop,photo,gt_index,iou,conf,status
suwon__1__crop_001,suwon__1,1,0.9329,0.9506,TP
suwon__1__crop_002,suwon__1,3,0.9317,0.9501,TP
,suwon__1,2,0.0,,FN
suwon__10__crop_001,suwon__10,2,0.9275,0.7762,TP
suwon__10__crop_002,suwon__10,3,0.8043,0.6567,TP
suwon__10__crop_003,suwon__10,1,0.9529,0.4662,TP
suwon__10__crop_004,suwon__10,,0.0,0.1141,FP
suwon__100__crop_001,suwon__100,1,0.7125,0.9757,TP
suwon__100__crop_002,suwon__100,,0.0,0.4756,FP
suwon__11__crop_001,suwon__11,1,0.8082,0.9415,TP
suwon__12__crop_001,suwon__12,1,0.9136,0.8287,TP
suwon__13__crop_001,suwon__13,2,0.9566,0.8963,TP
suwon__13__crop_002,suwon__13,1,0.8512,0.5451,TP
suwon__14__crop_001,suwon__14,1,0.9717,0.798,TP
suwon__15__crop_001,suwon__15,1,0.9763,0.9483,TP
suwon__15__crop_002,suwon__15,,0.0,0.707,FP
suwon__16__crop_001,suwon__16,1,0.9556,0.9651,TP
suwon__17__crop_001,suwon__17,1,0.9002,0.4983,TP
suwon__18__crop_001,suwon__18,1,0.9655,0.927,TP
suwon__19__crop_001,suwon__19,,0.0,0.8559,FP
suwon__19__crop_002,suwon__19,1,0.9319,0.8016,TP
suwon__2__crop_001,suwon__2,3,0.969,0.9654,TP
suwon__2__crop_002,suwon__2,4,0.9242,0.9627,TP
suwon__2__crop_003,suwon__2,1,0.8666,0.9595,TP
suwon__2__crop_004,suwon__2,2,0.5769,0.9047,TP
suwon__2__crop_005,suwon__2,,0.0,0.3803,FP
suwon__2__crop_006,suwon__2,,0.0,0.3086,FP
suwon__2__crop_007,suwon__2,,0.0,0.2353,FP
suwon__20__crop_001,suwon__20,1,0.9684,0.9644,TP
suwon__20__crop_002,suwon__20,2,0.9056,0.9432,TP
suwon__20__crop_003,suwon__20,,0.0,0.2543,FP
suwon__21__crop_001,suwon__21,1,0.913,0.9036,TP
suwon__22__crop_001,suwon__22,,0.0,0.8685,FP
suwon__22__crop_002,suwon__22,,0.3061,0.1379,FP
suwon__22__crop_003,suwon__22,1,0.7905,0.1248,TP
suwon__23__crop_001,suwon__23,1,0.9436,0.9832,TP
suwon__24__crop_001,suwon__24,1,0.9681,0.981,TP
suwon__25__crop_001,suwon__25,1,0.9531,0.9822,TP
suwon__25__crop_002,suwon__25,2,0.9481,0.9122,TP
suwon__26__crop_001,suwon__26,1,0.9661,0.9276,TP
suwon__27__crop_001,suwon__27,,0.0,0.3869,FP
suwon__27__crop_002,suwon__27,1,0.6079,0.3124,TP
suwon__27__crop_003,suwon__27,,0.0,0.198,FP
suwon__28__crop_001,suwon__28,1,0.975,0.9503,TP
suwon__28__crop_002,suwon__28,,0.0,0.8224,FP
suwon__28__crop_003,suwon__28,,0.0,0.7265,FP
suwon__29__crop_001,suwon__29,1,0.7423,0.7186,TP
suwon__3__crop_001,suwon__3,,0.0,0.7879,FP
suwon__3__crop_002,suwon__3,,0.4846,0.7431,FP
