det_crop,photo,gt_index,iou,conf,status
suwon__1__crop_001,suwon__1,1,0.9345,0.9976,TP
suwon__1__crop_002,suwon__1,3,0.873,0.9953,TP
,suwon__1,2,0.0,,FN
suwon__10__crop_001,suwon__10,1,0.8539,0.9973,TP
suwon__10__crop_002,suwon__10,3,0.7794,0.9952,TP
suwon__10__crop_003,suwon__10,,0.0,0.9877,FP
suwon__10__crop_004,suwon__10,2,0.7775,0.9831,TP
suwon__10__crop_005,suwon__10,,0.0,0.4666,FP
suwon__10__crop_006,suwon__10,,0.0,0.3956,FP
suwon__100__crop_001,suwon__100,1,0.7181,0.9997,TP
suwon__100__crop_002,suwon__100,,0.0,0.8249,FP
suwon__11__crop_001,suwon__11,1,0.5864,0.9979,TP
suwon__11__crop_002,suwon__11,,0.0,0.6061,FP
suwon__11__crop_003,suwon__11,,0.0,0.4378,FP
suwon__12__crop_001,suwon__12,1,0.8574,0.9977,TP
suwon__12__crop_002,suwon__12,,0.0,0.5879,FP
suwon__13__crop_001,suwon__13,1,0.8619,0.9969,TP
suwon__13__crop_002,suwon__13,2,0.7489,0.9641,TP
suwon__13__crop_003,suwon__13,,0.0,0.7071,FP
suwon__14__crop_001,suwon__14,1,0.8824,0.9975,TP
suwon__15__crop_001,suwon__15,1,0.8923,0.9949,TP
suwon__15__crop_002,suwon__15,,0.0,0.707,FP
suwon__15__crop_003,suwon__15,,0.0,0.5419,FP
suwon__16__crop_001,suwon__16,1,0.9214,0.9992,TP
suwon__16__crop_002,suwon__16,,0.0,0.7236,FP
suwon__17__crop_001,suwon__17,1,0.5412,0.969,TP
suwon__17__crop_002,suwon__17,,0.0,0.4983,FP
suwon__17__crop_003,suwon__17,,0.0,0.2743,FP
suwon__18__crop_001,suwon__18,1,0.9462,0.9998,TP
suwon__19__crop_001,suwon__19,1,0.9251,0.991,TP
suwon__19__crop_002,suwon__19,,0.0,0.9616,FP
suwon__2__crop_001,suwon__2,4,0.9062,0.9978,TP
suwon__2__crop_002,suwon__2,3,0.878,0.9975,TP
suwon__2__crop_003,suwon__2,2,0.607,0.9939,TP
suwon__2__crop_004,suwon__2,1,0.8705,0.9923,TP
suwon__2__crop_005,suwon__2,,0.0,0.3803,FP
suwon__20__crop_001,suwon__20,1,0.9525,0.9972,TP
suwon__20__crop_002,suwon__20,2,0.9416,0.9897,TP
suwon__20__crop_003,suwon__20,,0.0,0.2543,FP
suwon__21__crop_001,suwon__21,1,0.9063,0.999,TP
suwon__21__crop_002,suwon__21,,0.0,0.9643,FP
suwon__22__crop_001,suwon__22,1,0.6602,0.9579,TP
suwon__22__crop_002,suwon__22,,0.0,0.8685,FP
suwon__23__crop_001,suwon__23,1,0.9347,0.9968,TP
suwon__24__crop_001,suwon__24,1,0.9428,0.9998,TP
suwon__24__crop_002,suwon__24,,0.0,0.9475,FP
suwon__25__crop_001,suwon__25,1,0.9666,0.9969,TP
suwon__25__crop_002,suwon__25,2,0.9307,0.9937,TP
suwon__26__crop_001,suwon__26,1,0.879,0.9992,TP
suwon__27__crop_001,suwon__27,1,0.8653,0.9737,TP
suwon__27__crop_002,suwon__27,,0.0,0.5933,FP
suwon__27__crop_003,suwon__27,,0.0,0.5318,FP
suwon__27__crop_004,suwon__27,,0.0,0.3869,FP
suwon__28__crop_001,suwon__28,1,0.9192,0.9991,TP
suwon__28__crop_002,suwon__28,,0.0,0.9809,FP
suwon__28__crop_003,suwon__28,,0.0,0.8224,FP
suwon__29__crop_001,suwon__29,1,0.5834,0.9154,TP
suwon__29__crop_002,suwon__29,,0.0,0.5977,FP
suwon__3__crop_001,suwon__3,1,0.5346,0.9886,TP
suwon__3__crop_002,suwon__3,,0.0,0.7879,FP
suwon__3__crop_003,suwon__3,,0.0,0.5115,FP
suwon__30__crop_001,suwon__30,,0.4627,0.8148,FP
,suwon__30,1,0.0,,FN
suwon__31__crop_001,suwon__31,1,0.8504,0.9987,TP
suwon__31__crop_002,suwon__31,,0.0,0.9863,FP
suwon__32__crop_001,suwon__32,1,0.9336,0.9965,TP
suwon__32__crop_002,suwon__32,,0.0,0.9664,FP
suwon__32__crop_003,suwon__32,,0.0,0.457,FP
suwon__32__crop_004,suwon__32,,0.0,0.3747,FP
suwon__33__crop_001,suwon__33,1,0.7947,0.9995,TP
suwon__33__crop_002,suwon__33,,0.0,0.9384,FP
suwon__34__crop_001,suwon__34,1,0.8372,0.9963,TP
suwon__34__crop_002,suwon__34,,0.0,0.8546,FP
suwon__34__crop_003,suwon__34,,0.0,0.6289,FP
suwon__34__crop_004,suwon__34,,0.0,0.2541,FP
suwon__35__crop_001,suwon__35,1,0.9237,0.9992,TP
suwon__36__crop_001,suwon__36,1,0.9074,0.9987,TP
suwon__36__crop_002,suwon__36,2,0.8748,0.9674,TP
suwon__36__crop_003,suwon__36,3,0.8808,0.359,TP
suwon__36__crop_004,suwon__36,,0.0,0.286,FP
suwon__37__crop_001,suwon__37,1,0.8716,0.9921,TP
suwon__37__crop_002,suwon__37,2,0.8742,0.9907,TP
suwon__37__crop_003,suwon__37,,0.0,0.9656,FP
suwon__37__crop_004,suwon__37,,0.0,0.5936,FP
suwon__37__crop_005,suwon__37,,0.0,0.3637,FP
suwon__37__crop_006,suwon__37,,0.0,0.266,FP
suwon__38__crop_001,suwon__38,1,0.8028,0.9732,TP
suwon__39__crop_001,suwon__39,1,0.8308,0.9954,TP
suwon__39__crop_002,suwon__39,,0.0,0.303,FP
suwon__4__crop_001,suwon__4,1,0.8883,0.9962,TP
,suwon__4,2,0.0,,FN
suwon__40__crop_001,suwon__40,2,0.8708,0.9986,TP
suwon__40__crop_002,suwon__40,1,0.7207,0.9926,TP
suwon__41__crop_001,suwon__41,1,0.9102,0.9932,TP
suwon__41__crop_002,suwon__41,,0.0,0.9887,FP
suwon__41__crop_003,suwon__41,,0.0,0.9294,FP
suwon__41__crop_004,suwon__41,,0.0,0.9179,FP
suwon__41__crop_005,suwon__41,,0.0,0.2594,FP
suwon__42__crop_001,suwon__42,1,0.9084,0.9974,TP
suwon__42__crop_002,suwon__42,3,0.9115,0.9973,TP
suwon__42__crop_003,suwon__42,2,0.7658,0.996,TP
suwon__43__crop_001,suwon__43,1,0.7492,0.9814,TP
suwon__43__crop_002,suwon__43,2,0.7572,0.7634,TP
suwon__43__crop_003,suwon__43,,0.0,0.5313,FP
suwon__43__crop_004,suwon__43,,0.0,0.287,FP
suwon__44__crop_001,suwon__44,1,0.7949,0.9985,TP
suwon__44__crop_002,suwon__44,,0.0,0.996,FP
suwon__45__crop_001,suwon__45,1,0.8709,0.9972,TP
suwon__45__crop_002,suwon__45,2,0.8815,0.9968,TP
suwon__45__crop_003,suwon__45,,0.0,0.3976,FP
suwon__45__crop_004,suwon__45,,0.0,0.2878,FP
suwon__45__crop_005,suwon__45,,0.0,0.2835,FP
suwon__46__crop_001,suwon__46,2,0.7072,0.9938,TP
suwon__46__crop_002,suwon__46,1,0.7451,0.984,TP
suwon__46__crop_003,suwon__46,,0.0,0.4034,FP
suwon__47__crop_001,suwon__47,2,0.8717,0.9971,TP
suwon__47__crop_002,suwon__47,1,0.6092,0.9685,TP
suwon__48__crop_001,suwon__48,1,0.8864,0.999,TP
suwon__48__crop_002,suwon__48,,0.0,0.9615,FP
suwon__49__crop_001,suwon__49,1,0.8961,0.9997,TP
suwon__5__crop_001,suwon__5,1,0.7618,0.9867,TP
suwon__5__crop_002,suwon__5,,0.0,0.9832,FP
suwon__5__crop_003,suwon__5,,0.0,0.7309,FP
suwon__50__crop_001,suwon__50,2,0.9361,0.9986,TP
suwon__50__crop_002,suwon__50,1,0.8394,0.9976,TP
suwon__51__crop_001,suwon__51,1,0.9538,0.9994,TP
suwon__52__crop_001,suwon__52,1,0.837,0.9994,TP
suwon__52__crop_002,suwon__52,,0.0,0.2788,FP
suwon__53__crop_001,suwon__53,1,0.8997,0.9996,TP
suwon__53__crop_002,suwon__53,,0.0,0.9532,FP
suwon__53__crop_003,suwon__53,,0.0,0.4456,FP
suwon__54__crop_001,suwon__54,1,0.9251,0.9723,TP
suwon__54__crop_002,suwon__54,,0.0,0.5213,FP
suwon__55__crop_001,suwon__55,1,0.9017,0.9992,TP
suwon__56__crop_001,suwon__56,1,0.9154,0.9959,TP
suwon__57__crop_001,suwon__57,1,0.7464,0.986,TP
suwon__58__crop_001,suwon__58,1,0.8678,0.9909,TP
suwon__58__crop_002,suwon__58,2,0.8287,0.9877,TP
suwon__58__crop_003,suwon__58,,0.0,0.7861,FP
suwon__58__crop_004,suwon__58,,0.0,0.3053,FP
suwon__59__crop_001,suwon__59,2,0.5868,0.9901,TP
suwon__59__crop_002,suwon__59,,0.3682,0.9817,FP
suwon__59__crop_003,suwon__59,3,0.7434,0.9663,TP
suwon__59__crop_004,suwon__59,,0.0,0.4029,FP
suwon__59__crop_005,suwon__59,,0.0,0.2989,FP
,suwon__59,1,0.0,,FN
suwon__6__crop_001,suwon__6,1,0.9502,0.9911,TP
suwon__6__crop_002,suwon__6,,0.0,0.9353,FP
suwon__6__crop_003,suwon__6,,0.0,0.8423,FP
suwon__6__crop_004,suwon__6,,0.0,0.5549,FP
suwon__60__crop_001,suwon__60,1,0.8864,0.9998,TP
suwon__60__crop_002,suwon__60,2,0.9261,0.9978,TP
suwon__61__crop_001,suwon__61,2,0.8492,0.9935,TP
suwon__61__crop_002,suwon__61,1,0.9207,0.9655,TP
suwon__61__crop_003,suwon__61,,0.0,0.9222,FP
suwon__62__crop_001,suwon__62,2,0.9483,0.9985,TP
suwon__62__crop_002,suwon__62,1,0.9518,0.9933,TP
suwon__63__crop_001,suwon__63,1,0.8631,0.9948,TP
suwon__63__crop_002,suwon__63,,0.0,0.541,FP
suwon__63__crop_003,suwon__63,,0.0,0.2911,FP
suwon__64__crop_001,suwon__64,1,0.7897,0.996,TP
suwon__64__crop_002,suwon__64,,0.0,0.9306,FP
suwon__65__crop_001,suwon__65,2,0.7179,0.9779,TP
suwon__65__crop_002,suwon__65,,0.0,0.9345,FP
suwon__65__crop_003,suwon__65,,0.4787,0.4475,FP
,suwon__65,1,0.0,,FN
suwon__66__crop_001,suwon__66,1,0.8681,0.9988,TP
suwon__66__crop_002,suwon__66,2,0.8853,0.997,TP
suwon__67__crop_001,suwon__67,,0.3525,0.9983,FP
,suwon__67,1,0.0,,FN
suwon__68__crop_001,suwon__68,1,0.7142,0.9891,TP
suwon__68__crop_002,suwon__68,,0.0,0.7249,FP
suwon__69__crop_001,suwon__69,1,0.9283,0.9882,TP
suwon__69__crop_002,suwon__69,,0.0,0.7915,FP
suwon__7__crop_001,suwon__7,1,0.8208,0.9963,TP
suwon__70__crop_001,suwon__70,1,0.9259,0.8975,TP
suwon__70__crop_002,suwon__70,,0.0,0.6184,FP
suwon__71__crop_001,suwon__71,1,0.837,0.8468,TP
suwon__72__crop_001,suwon__72,1,0.6449,0.9719,TP
suwon__73__crop_001,suwon__73,1,0.8889,0.9697,TP
suwon__73__crop_002,suwon__73,2,0.9024,0.8154,TP
suwon__73__crop_003,suwon__73,,0.0,0.7918,FP
suwon__73__crop_004,suwon__73,,0.0,0.2795,FP
suwon__74__crop_001,suwon__74,1,0.8629,0.9996,TP
suwon__75__crop_001,suwon__75,1,0.8323,0.998,TP
suwon__75__crop_002,suwon__75,,0.0,0.9666,FP
suwon__75__crop_003,suwon__75,,0.0,0.9607,FP
suwon__75__crop_004,suwon__75,,0.0,0.8391,FP
suwon__75__crop_005,suwon__75,,0.0,0.4929,FP
suwon__76__crop_001,suwon__76,2,0.8081,0.9993,TP
suwon__76__crop_002,suwon__76,1,0.8817,0.9965,TP
suwon__76__crop_003,suwon__76,,0.0,0.4645,FP
suwon__77__crop_001,suwon__77,1,0.9245,0.9979,TP
suwon__77__crop_002,suwon__77,2,0.8925,0.9909,TP
suwon__77__crop_003,suwon__77,,0.0,0.4368,FP
suwon__78__crop_001,suwon__78,1,0.8123,0.9983,TP
suwon__79__crop_001,suwon__79,1,0.9415,0.9879,TP
suwon__8__crop_001,suwon__8,1,0.9426,0.9978,TP
suwon__8__crop_002,suwon__8,,0.0,0.9018,FP
suwon__8__crop_003,suwon__8,,0.0,0.5392,FP
suwon__8__crop_004,suwon__8,,0.0,0.3369,FP
suwon__80__crop_001,suwon__80,1,0.6853,0.9984,TP
suwon__80__crop_002,suwon__80,,0.0,0.9447,FP
suwon__81__crop_001,suwon__81,1,0.8001,0.9604,TP
suwon__81__crop_002,suwon__81,,0.0,0.8842,FP
suwon__81__crop_003,suwon__81,,0.0,0.4363,FP
suwon__82__crop_001,suwon__82,1,0.5679,0.9574,TP
suwon__83__crop_001,suwon__83,1,0.8733,0.9881,TP
suwon__83__crop_002,suwon__83,,0.0,0.5133,FP
suwon__83__crop_003,suwon__83,2,0.8979,0.4746,TP
suwon__84__crop_001,suwon__84,1,0.8666,0.997,TP
suwon__84__crop_002,suwon__84,,0.0,0.7593,FP
suwon__85__crop_001,suwon__85,,0.0586,0.9383,FP
suwon__85__crop_002,suwon__85,,0.0,0.9092,FP
suwon__85__crop_003,suwon__85,,0.3629,0.8859,FP
suwon__85__crop_004,suwon__85,1,0.7447,0.7467,TP
suwon__85__crop_005,suwon__85,,0.0,0.5763,FP
suwon__86__crop_001,suwon__86,1,0.9807,0.9786,TP
suwon__86__crop_002,suwon__86,2,0.9592,0.971,TP
suwon__87__crop_001,suwon__87,1,0.7875,0.9425,TP
suwon__88__crop_001,suwon__88,1,0.8455,0.904,TP
suwon__88__crop_002,suwon__88,,0.0,0.7633,FP
suwon__89__crop_001,suwon__89,1,0.946,0.9996,TP
suwon__89__crop_002,suwon__89,,0.0,0.4078,FP
suwon__9__crop_001,suwon__9,1,0.8591,0.9896,TP
suwon__9__crop_002,suwon__9,2,0.7069,0.9726,TP
suwon__9__crop_003,suwon__9,,0.0,0.9342,FP
suwon__9__crop_004,suwon__9,,0.0,0.7069,FP
suwon__9__crop_005,suwon__9,,0.0,0.6991,FP
suwon__90__crop_001,suwon__90,1,0.7553,0.9973,TP
suwon__90__crop_002,suwon__90,,0.0,0.5978,FP
suwon__90__crop_003,suwon__90,,0.0,0.3372,FP
suwon__90__crop_004,suwon__90,,0.0,0.2898,FP
suwon__91__crop_001,suwon__91,1,0.8917,0.9992,TP
suwon__92__crop_001,suwon__92,1,0.8596,0.9961,TP
suwon__92__crop_002,suwon__92,,0.0,0.5524,FP
suwon__92__crop_003,suwon__92,,0.0,0.4891,FP
suwon__93__crop_001,suwon__93,2,0.8331,0.999,TP
suwon__93__crop_002,suwon__93,1,0.8736,0.986,TP
suwon__93__crop_003,suwon__93,,0.0,0.8416,FP
suwon__93__crop_004,suwon__93,,0.0,0.538,FP
suwon__94__crop_001,suwon__94,1,0.8182,0.9928,TP
suwon__94__crop_002,suwon__94,,0.0,0.9919,FP
suwon__94__crop_003,suwon__94,,0.0,0.7909,FP
suwon__95__crop_001,suwon__95,1,0.8323,0.9958,TP
suwon__96__crop_001,suwon__96,1,0.5959,0.9099,TP
suwon__96__crop_002,suwon__96,,0.0,0.8225,FP
suwon__96__crop_003,suwon__96,,0.0,0.5626,FP
suwon__96__crop_004,suwon__96,,0.0,0.4683,FP
suwon__97__crop_001,suwon__97,1,0.8907,0.9826,TP
suwon__98__crop_001,suwon__98,1,0.9233,0.9824,TP
suwon__98__crop_002,suwon__98,,0.0,0.3745,FP
suwon__99__crop_001,suwon__99,1,0.9309,0.9882,TP
suwon__99__crop_002,suwon__99,,0.0,0.8045,FP
