region,det_crop,status,gt_crop,gt_tag,pred_name,pred_tag,ocr_text
gangnam,gangnam__1__crop_001,TP,gangnam__1__crop_001,amenity=karaoke_box,K MUSIC TOWN,amenity=karaoke_box,milk / 크뮤직타운 / K MUSIC TOWN / OPEN 6PM · CLOSE 10AM B1
gangnam,gangnam__1__crop_002,FP,,,T,unknown,T
gangnam,gangnam__10__crop_001,TP,gangnam__10__crop_001,tourism=hotel,HOTEL,tourism=hotel,HOTEL / T
gangnam,gangnam__10__crop_002,TP,gangnam__10__crop_002,amenity=restaurant,Saboten,amenity=restaurant,Saboten / THE ORIGINAL SHINJUKU DONBURI / ISU
gangnam,gangnam__100__crop_001,TP,gangnam__100__crop_001,amenity=fast_food,비비큐치킨,amenity=fast_food,Welcome / W / the BBQ World / BBQ Chicken / SJU / 대치점556-7001 / 1588-9282 / 올리브 럭셔리 치킨 / 비비큐치킨
gangnam,gangnam__11__crop_001,TP,gangnam__11__crop_002,amenity=bar,ROOM.HOF SOJU 강남역점,amenity=restaurant,© 2022 Google / Korean Pub / 가맹문의 1599-0078 ROOM.HOF SOJU 강남역점 02)532-0870 / www. zipsseng.net / 진동하리생각
gangnam,gangnam__11__crop_002,TP,gangnam__11__crop_001,amenity=fast_food,롯데리아,amenity=fast_food,롯데리아 / D / LOTTERIA / 강남역점
gangnam,gangnam__12__crop_001,TP,gangnam__12__crop_001,office=company,럭셔리브라더스,office=company,럭셔리브라더스
gangnam,gangnam__14__crop_001,FP,,,HOLLYWOOD Café & Restaurant,amenity=cafe,"비빔국수 / 7,000 / 수제돈까스 / 콩나물국밥 6,000 / HOLLYWOOD Café & Restaurant"
gangnam,gangnam__15__crop_001,FP,,,전영준프로초밥,amenity=restaurant,전영준프로초밥 / 강남직영점 / 한마로 H기 / 국내극영화협찬 / 전병률조명 / 전병률 / 흥업주식회사 / 1977
gangnam,gangnam__16__crop_001,TP,gangnam__16__crop_001,,Yomenya Goemon,amenity=restaurant,Yomenya Goemon / Japanese Spaghetti
gangnam,gangnam__18__crop_001,TP,gangnam__18__crop_002,amenity=bank,우리은행,amenity=bank,우리은행 / 강남역지점 / 365코너 2층까지
gangnam,gangnam__18__crop_002,FP,,,MLB,unknown,MLB
gangnam,gangnam__19__crop_001,TP,gangnam__19__crop_001,amenity=restaurant,파파스레시피,amenity=restaurant,쭈꾸미불고기전문 / 파파스레시피 2F / T.567-4900 / 파닭레시피
