region,det_crop,status,gt_crop,gt_tag,pred_name,pred_tag,ocr_text
gangnam,gangnam__1__crop_001,TP,gangnam__1__crop_001,amenity=karaoke_box,밀크뮤직타운,amenity=karaoke_box,milk / 밀크뮤직타운 / MILK MUSIC TOWN / OPEN@6PM - CLOSE@10AM B1
gangnam,gangnam__1__crop_002,FP,,,TMON,office=company,TMON
gangnam,gangnam__10__crop_001,TP,gangnam__10__crop_001,tourism=hotel,T,tourism=hotel,HOTEL / T
gangnam,gangnam__10__crop_002,TP,gangnam__10__crop_002,amenity=restaurant,Saboten,amenity=restaurant,Saboten / THE ORIGINAL SHINJUKU DONTONKATSU
gangnam,gangnam__100__crop_001,TP,gangnam__100__crop_001,amenity=fast_food,BBQ Chicken,amenity=restaurant,Welcome to / the / BBQ World / BBQ / Chicken / 대치도곡점 556-7001 비비큐치킨 / 1588-9282 / 올리브 럭셔리 치킨
gangnam,gangnam__11__crop_001,TP,gangnam__11__crop_002,amenity=bar,ROOM.HOF.SOJU,amenity=restaurant,© 2022 Google / Korean Pub / 가맹문의 1599-0078 ROOM.HOF.SOJU 강남역점 02)532-0870 / www.zipsseng.net
gangnam,gangnam__11__crop_002,TP,gangnam__11__crop_001,amenity=fast_food,롯데리아,amenity=fast_food,롯데리아 / L / LOTTERIA / 강남역점
gangnam,gangnam__12__crop_001,TP,gangnam__12__crop_001,office=company,럭셔리브라더스,office=company,럭셔리브라더스
gangnam,gangnam__14__crop_001,FP,,,,amenity=restaurant,"비빔국수 / 7,000 / 수제돈까스 / 콩나물국밥 6,000"
gangnam,gangnam__15__crop_001,FP,,,전영준프로초밥,amenity=restaurant,전영준프로초밥 / 강남직영점 / 전화번호 02-541-9077
gangnam,gangnam__16__crop_001,TP,gangnam__16__crop_001,,Yomenya Goemon,amenity=restaurant,Yomenya Goemon / Japanese Spaghetti
gangnam,gangnam__18__crop_001,TP,gangnam__18__crop_002,amenity=bank,우리은행,amenity=bank,우리은행 / 강남역지점 / 365코너 2층 ↑
gangnam,gangnam__18__crop_002,FP,,,MLB,shop=clothes,MLB
