region,det_crop,status,gt_crop,gt_tag,pred_name,pred_tag,ocr_text
gangnam,gangnam__1__crop_001,TP,gangnam__1__crop_001,amenity=karaoke_box,밀크뮤직타운,amenity=karaoke_box,milk / 밀크뮤직타운 / MILK MUSIC TOWN / OPEN@6PM - CLOSE@10AM B1
gangnam,gangnam__1__crop_002,FP,,,T,shop=convenience,T
gangnam,gangnam__10__crop_001,TP,gangnam__10__crop_001,tourism=hotel,HOTEL,tourism=hotel,HOTEL / T
gangnam,gangnam__10__crop_002,TP,gangnam__10__crop_002,amenity=restaurant,Saboten,amenity=restaurant,Saboten / THE ORIGINAL SHINJUKU DONBURI
gangnam,gangnam__100__crop_001,TP,gangnam__100__crop_001,amenity=fast_food,Welcome to the BBQ World,amenity=restaurant,Welcome / Welcome to / the BBQ World / BBQ / Chicken / 대치도곡점 556-7001 Chicken 비비큐치킨 / 1588-9282 / 올리브 럭셔리 치킨
gangnam,gangnam__11__crop_001,TP,gangnam__11__crop_002,amenity=bar,Korean Pub,amenity=bar,© 2022 Google / Korean Pub / 가맹문의 1599-0078 ROOM.HOF.SOJU 강남역점 02)532-0870 / www.zipsseng.net
gangnam,gangnam__11__crop_002,TP,gangnam__11__crop_001,amenity=fast_food,롯데리아,amenity=fast_food,롯데리아 / L / LOTTERIA / 강남역점
gangnam,gangnam__12__crop_001,TP,gangnam__12__crop_001,office=company,럭셔리브라더스,office=company,럭셔리브라더스
gangnam,gangnam__14__crop_001,FP,,,수제돈까스,amenity=restaurant,"비빔국수 6,000 / 7,000 / 수제돈까스 / 콩나물국밥 6,000"
gangnam,gangnam__15__crop_001,FP,,,전영준프로초밥,amenity=restaurant,전영준프로초밥 / 강남직영점 / 전화번호 1561-8077
gangnam,gangnam__16__crop_001,TP,gangnam__16__crop_001,,Yomenya Goemon,amenity=restaurant,Yomenya Goemon / Japanese Spaghetti
gangnam,gangnam__18__crop_001,TP,gangnam__18__crop_002,amenity=bank,우리은행,amenity=bank,우리은행 / 강남역지점 / 365코너 2층↑
gangnam,gangnam__18__crop_002,FP,,,MLB,shop=clothes,MLB
gangnam,gangnam__19__crop_001,TP,gangnam__19__crop_001,amenity=restaurant,쭈꾸미불고기전문,amenity=restaurant,쭈꾸미불고기전문 / 파파스레시피 2F / T.567-4900
gangnam,gangnam__2__crop_001,TP,gangnam__2__crop_001,amenity=cafe,HERRY'S,amenity=cafe,HERRY'S / COFFEE
gangnam,gangnam__20__crop_001,TP,gangnam__20__crop_001,amenity=restaurant,THE PLACE,amenity=restaurant,THE / PLACE / ITALIAN URBAN BISTRO
gangnam,gangnam__20__crop_002,FP,,,THE PLACE,amenity=restaurant,THE / PLACE / ITALIAN URBAN BISTRO
gangnam,gangnam__21__crop_001,TP,gangnam__21__crop_001,amenity=ice_cream,baskinBRrobbins,amenity=ice_cream,baskinBRrobbins
gangnam,gangnam__22__crop_001,TP,gangnam__22__crop_002,,리브스,office=company,리브스 / © 2021 Google / 체인문의:1688·2868
gangnam,gangnam__22__crop_002,TP,gangnam__22__crop_001,amenity=restaurant,혜화 돌쇠 아저씨,amenity=restaurant,© 2021 Google / 혜화 돌쇠 / 아저씨 / © 2021 Google / 고르곤 졸라 피자
gangnam,gangnam__23__crop_001,FP,,,뼈다,amenity=restaurant,뼈 / 뼈다 / 체인점문의 : (032) 677-1337
gangnam,gangnam__23__crop_002,TP,gangnam__23__crop_001,amenity=restaurant,문교동낙지,amenity=restaurant,문교동낙지 / 전문점
gangnam,gangnam__24__crop_001,TP,gangnam__24__crop_001,amenity=fast_food,SUBWAY,amenity=fast_food,SUBWAY
gangnam,gangnam__25__crop_001,TP,gangnam__25__crop_001,,GOLD,shop=clothes,GOLD
gangnam,gangnam__26__crop_001,TP,gangnam__26__crop_001,,맛금,amenity=cafe,맛금 / CAFÉ thanks
gangnam,gangnam__27__crop_001,TP,gangnam__27__crop_001,shop=convenience,CU,shop=convenience,CU / BGF리테일
gangnam,gangnam__28__crop_001,TP,gangnam__28__crop_001,amenity=cafe,THE CAFE 8.6.8,amenity=cafe,THE CAFE 8.6.8 / 이탈리안 젤라또·커피
gangnam,gangnam__29__crop_001,TP,gangnam__29__crop_001,amenity=bar,오페라,amenity=bar,opera / 오페라 / 라이브 / 유흥주점
gangnam,gangnam__3__crop_001,TP,gangnam__3__crop_001,amenity=restaurant,Yomenya Goemon,amenity=restaurant,Yomenya Goemon / Japanese Spaghetti
gangnam,gangnam__3__crop_002,FP,,,CAS,office=company,CAS / JOV
gangnam,gangnam__30__crop_001,FP,,,새마을휘트니스,leisure=fitness_centre,건강이 생활이 되는 / 새마을휘트니스 26호 강남역점 24시간 운영 / 헬스 PT G.X클 2개 댄스 오거 최신 U.S.A 프로그램 승마기기 / 힐링존 한신욕기 힐링 플러스존 전동 안마의자 프리미엄 헬스기구 도입 /
gangnam,gangnam__31__crop_001,TP,gangnam__31__crop_001,amenity=restaurant,국빈,amenity=restaurant,마 / 국빈 国賓 정통중국요리 Chinese Res / T.566-4531
gangnam,gangnam__32__crop_001,TP,gangnam__32__crop_001,amenity=bar,IZAKAYA TAN,amenity=restaurant,Japanese dishes / IZAKAYA TAN / 坦 たん / tan
gangnam,gangnam__33__crop_001,TP,gangnam__33__crop_001,shop=bakery,DUNKIN' DONUTS,amenity=fast_food,한식 bierhof / bierhof / bierhof / DUNKIN' DONUTS / DD / DUNKIN'
gangnam,gangnam__34__crop_001,TP,gangnam__34__crop_001,shop=convenience,hierhof,shop=convenience,hierhof / 비어호프 / hierhof / hierhof / STOP 역삼타워점 / MINI STOP 역 / co / MINI CAFE
gangnam,gangnam__36__crop_001,FP,,,치킨호프,amenity=fast_food,꼬끼꼬끼 / 피 / 치킨호프 / 치킨호프 / 참
gangnam,gangnam__37__crop_001,TP,gangnam__37__crop_001,shop=optician,eye scream 아이스크림안정,amenity=ice_cream,eye scream 아이스크림안정 / 10정
gangnam,gangnam__38__crop_001,TP,gangnam__38__crop_001,amenity=cafe,CANDLE & SOAP,shop=beauty,SOAP / CANDLE / CANDLE & SOAP
gangnam,gangnam__39__crop_001,TP,gangnam__39__crop_001,amenity=restaurant,세무사 김영덕 사무소,office=company,세무사 김영덕 사무소 / 쭈꾸미불낙 / 566-4574
gangnam,gangnam__4__crop_001,TP,gangnam__4__crop_001,amenity=bar,CASA JOVEN,amenity=bar,기시도 / CASA / JOVEN / 481-8666
gangnam,gangnam__40__crop_001,TP,gangnam__40__crop_001,amenity=bar,로빈힐,amenity=bar,로빈힐 BEER & 생맥주
gangnam,gangnam__41__crop_001,TP,gangnam__41__crop_001,shop=stationery,모닝클로리,shop=stationery,모닝클로리 / 강남역점 : 539-9977
gangnam,gangnam__42__crop_001,TP,gangnam__42__crop_001,amenity=restaurant,이층마늘족발·보쌈·순대국,amenity=restaurant,이층마늘족발·보쌈·순대국 / 565-8999 / 본점
gangnam,gangnam__43__crop_001,TP,gangnam__43__crop_001,shop=convenience,7-ELEVEN,shop=convenience,7-ELEVEN
gangnam,gangnam__44__crop_001,TP,gangnam__44__crop_002,amenity=restaurant,영껍데기,amenity=restaurant,"2층으로 오세요 (₩ 6,000) / 오세요 / 100% / 국내산 1등급 생고기 / 영껍데기 / 껍데기 / 김치찌개"
gangnam,gangnam__44__crop_002,FP,,,生고기,amenity=restaurant,生고기 / 고기 / 김치찌개
gangnam,gangnam__45__crop_001,TP,gangnam__45__crop_001,amenity=restaurant,영동,amenity=restaurant,영동 / 100% 국내산 1등급 생고기 / 껍데기 소금구이
gangnam,gangnam__45__crop_002,FP,,,영동 식당,amenity=restaurant,영동 식당 김치찌개
gangnam,gangnam__45__crop_003,FP,,,가고싶은 식당,amenity=restaurant,가고싶은 식당
gangnam,gangnam__46__crop_001,FP,,,김치찌개,amenity=restaurant,김치찌개 / 토돼지 / O / o
gangnam,gangnam__46__crop_002,FP,,,통돼지찌개집,amenity=restaurant,통돼지찌개집
gangnam,gangnam__46__crop_003,FP,,,화로구이,amenity=restaurant,화로구이 / 새 / 고기 / o
gangnam,gangnam__47__crop_001,TP,gangnam__47__crop_001,amenity=restaurant,NAJUGA,amenity=restaurant,e Ge F3 / 숙성한우와 나주곰탕 전문점 / NAJUGA / 가맹점문의 T. 567-9288
gangnam,gangnam__48__crop_001,TP,gangnam__48__crop_001,amenity=restaurant,김밥천국,amenity=restaurant,FOOD / CAFE 김밥천국
gangnam,gangnam__49__crop_001,TP,gangnam__49__crop_001,shop=bakery,PARIS BAGUETTE / 파리바게뜨,shop=bakery,PARIS BAGUETTE / 파리바게뜨
gangnam,gangnam__5__crop_001,TP,gangnam__5__crop_001,amenity=fast_food,MOS BURGER,amenity=fast_food,MOS BURGER
gangnam,gangnam__51__crop_001,TP,gangnam__51__crop_001,shop=convenience,GS25,shop=convenience,o / 이지 / Friendly / Fresh / GS25 / Fresh / Fun
