region,det_crop,status,gt_crop,gt_tag,pred_name,pred_tag,ocr_text
gangnam,gangnam__1__crop_001,TP,gangnam__1__crop_001,amenity=karaoke_box,밀크뮤직타운,amenity=karaoke_box,milk / 밀크뮤직타운 / MILK MUSIC TOWN / B1
gangnam,gangnam__1__crop_002,FP,,,액세서리,shop=jewelry,액세서리 / TMON 제휴결제수단 결제하면 혜택
gangnam,gangnam__10__crop_001,TP,gangnam__10__crop_001,tourism=hotel,T,tourism=hotel,HOTEL / T
gangnam,gangnam__10__crop_002,TP,gangnam__10__crop_002,amenity=restaurant,Saboten,amenity=restaurant,Saboten / THE ORIGINAL SHINJUKU DONTONKATSU
gangnam,gangnam__100__crop_001,TP,gangnam__100__crop_001,amenity=fast_food,비비큐치킨,amenity=fast_food,Welcome to / the BBQ World / Q / BB / 대치도곡점 556-7001 Chicken 비비큐치킨 / 올리브 럭셔리 치킨
gangnam,gangnam__11__crop_001,TP,gangnam__11__crop_002,amenity=bar,생활맥주,amenity=bar,집동가리생맥주 / Korean Pub / 가맹문의 1599-0078 ROOM.HOF.SOJU 강남역점
gangnam,gangnam__11__crop_002,TP,gangnam__11__crop_001,amenity=fast_food,롯데리아,amenity=fast_food,롯데리아 / LOTTERIA / 강남역점
gangnam,gangnam__12__crop_001,TP,gangnam__12__crop_001,office=company,럭셔리브라더스,office=company,럭셔리브라더스
gangnam,gangnam__14__crop_001,FP,,,HOLLYWOOD,amenity=restaurant,수제돈까스 / 콩나물국밥 / Restaurant / café / HOLLYWOOD
gangnam,gangnam__15__crop_001,FP,,,전영준프로초밥,amenity=restaurant,프로가 만드는 프로의 맛 / 전영준프로초밥 / 강남직영점 / 문의전화 02-541-9077
gangnam,gangnam__16__crop_001,TP,gangnam__16__crop_001,,Yomenya Goemon,amenity=restaurant,Yomenya Goemon / Japanese Spaghetti
gangnam,gangnam__18__crop_001,TP,gangnam__18__crop_002,amenity=bank,우리은행,amenity=bank,우리은행 / 강남역지점 / 365코너 2층 ↑
gangnam,gangnam__18__crop_002,FP,,,MLB,shop=clothes,MLB
gangnam,gangnam__19__crop_001,TP,gangnam__19__crop_001,amenity=restaurant,파파스레시피,amenity=restaurant,쭈꾸미불고기전문 / 파파스레시피 2F / T.567-4900
gangnam,gangnam__2__crop_001,TP,gangnam__2__crop_001,amenity=cafe,HERRY'S,amenity=cafe,HERRY'S / COFFEE / 197-257
gangnam,gangnam__20__crop_001,TP,gangnam__20__crop_001,amenity=restaurant,THE PLACE,amenity=restaurant,THE / PLACE / ITALIAN URBAN BISTRO
gangnam,gangnam__20__crop_002,FP,,,THE PLACE,amenity=restaurant,THE / PLACE / ITALIAN URBAN BISTRO
gangnam,gangnam__21__crop_001,TP,gangnam__21__crop_001,amenity=ice_cream,robbins / baskin BR,amenity=ice_cream,robbins / baskin BR
gangnam,gangnam__22__crop_001,TP,gangnam__22__crop_002,,항상은,amenity=restaurant,주휴점 / 항상은 / 상9 / 겹습니다 / 체인문의
gangnam,gangnam__22__crop_002,TP,gangnam__22__crop_001,amenity=restaurant,혜화돌쇠,amenity=restaurant,Google / 혜화돌쇠 / 아저씨 / 2021 Google / 고르곤 졸라 피자
gangnam,gangnam__23__crop_001,FP,,,뼈대,amenity=restaurant,뼈 / 뼈대 / KOREAN / RESTAURANT / 체인점문의
gangnam,gangnam__23__crop_002,TP,gangnam__23__crop_001,amenity=restaurant,문교동낙지,amenity=restaurant,문교동낙지 / 전문점
gangnam,gangnam__24__crop_001,TP,gangnam__24__crop_001,amenity=fast_food,SUBWAY,amenity=fast_food,SUBWAY
gangnam,gangnam__25__crop_001,TP,gangnam__25__crop_001,,GOLD,shop=clothes,GOLD
gangnam,gangnam__26__crop_001,TP,gangnam__26__crop_001,,thanks,amenity=cafe,CAFÉ / thanks
gangnam,gangnam__27__crop_001,TP,gangnam__27__crop_001,shop=convenience,CU,shop=convenience,CU / cvs for you / BGF리테일
gangnam,gangnam__28__crop_001,TP,gangnam__28__crop_001,amenity=cafe,THE CAFE 8.6.8,amenity=cafe,THE / CAFE 8.6.8 / 이탈리안 젤라또·커피
gangnam,gangnam__29__crop_001,TP,gangnam__29__crop_001,amenity=bar,오페라,amenity=bar,opera / 오페라 / 라이브 / 유흥주점
gangnam,gangnam__3__crop_001,TP,gangnam__3__crop_001,amenity=restaurant,Yomenya Goemon,amenity=restaurant,Yomenya Goemon / Japanese Spaghetti
gangnam,gangnam__3__crop_002,FP,,,CASE JOVI,tourism=hotel,CASE / JOVI
gangnam,gangnam__30__crop_001,FP,,,새마을휘트니스,leisure=fitness_centre,건강이 생활이 되는 / 새마을휘트니스 26호 강남역점 24시간 운영 / 새마을휘트니스 / 오시는 길 / T.02.562.0161
