region,image_name
gangnam,gangnam__14__crop_001
gangnam,gangnam__16__crop_001
gangnam,gangnam__16__crop_002
gangnam,gangnam__22__crop_002
gangnam,gangnam__26__crop_001
gangnam,gangnam__35__crop_003
gangnam,gangnam__35__crop_005
gangnam,gangnam__53__crop_001
gangnam,gangnam__5__crop_002
gangnam,gangnam__65__crop_002
gangnam,gangnam__66__crop_001
gangnam,gangnam__8__crop_001
gangnam,gangnam__93__crop_001
brooklyn,brooklyn__14__crop_001
brooklyn,brooklyn__18__crop_004
brooklyn,brooklyn__22__crop_001
brooklyn,brooklyn__22__crop_002
brooklyn,brooklyn__27__crop_001
brooklyn,brooklyn__30__crop_001
brooklyn,brooklyn__31__crop_002
brooklyn,brooklyn__43__crop_001
brooklyn,brooklyn__53__crop_001
brooklyn,brooklyn__56__crop_001
brooklyn,brooklyn__57__crop_002
brooklyn,brooklyn__60__crop_002
brooklyn,brooklyn__60__crop_003
brooklyn,brooklyn__62__crop_002
brooklyn,brooklyn__67__crop_001
brooklyn,brooklyn__6__crop_001
brooklyn,brooklyn__72__crop_001
brooklyn,brooklyn__74__crop_001
brooklyn,brooklyn__74__crop_002
brooklyn,brooklyn__79__crop_002
brooklyn,brooklyn__82__crop_001
brooklyn,brooklyn__82__crop_002
brooklyn,brooklyn__84__crop_001
brooklyn,brooklyn__85__crop_001
brooklyn,brooklyn__86__crop_001
brooklyn,brooklyn__90__crop_002
brooklyn,brooklyn__91__crop_002
brooklyn,brooklyn__91__crop_003
brooklyn,brooklyn__92__crop_001
brooklyn,brooklyn__99__crop_001
suwon,suwon__1__crop_003
suwon,suwon__2__crop_001
suwon,suwon__38__crop_001
suwon,suwon__6__crop_001
suwon,suwon__80__crop_001
suwon,suwon__88__crop_001
suwon,suwon__93__crop_001
suwon,suwon__95__crop_001
suwon,suwon__9__crop_002
