image_name,gt_text
brooklyn__100__crop_001,BARGAINLAND\nDEPARTMENT STORES\n###
brooklyn__100__crop_002,HIGH\nUNIVERSE\n###
brooklyn__10__crop_001,SPACE\nAVAILABLE\nMOD\n###
brooklyn__10__crop_002,ISLAND\nRIBHOUSE\n###
brooklyn__11__crop_001,LIT\nTAX\nSOLUTIONS\n###
brooklyn__12__crop_001,ISLAND\nRIBHOUSE\n###
brooklyn__12__crop_002,SPACE\nAVAILABLE\nMOD\n###
brooklyn__13__crop_001,FOOD WINE GROCER
brooklyn__13__crop_002,9ROUND\n30 MIN KICKBOX\n###
brooklyn__14__crop_002,Hello One Nail Spa\nInc\n###
brooklyn__15__crop_001,9 ROUND\n30 MIN KICKBOX FITNESS
brooklyn__15__crop_002,FOOD WINE GROCER\n###
brooklyn__16__crop_001,FLY WING E BIKE\n###
brooklyn__16__crop_002,CAMBRIDGE LEACH INC\n###
brooklyn__16__crop_003,BAJI
brooklyn__17__crop_001,Hello One Nail Spa\nInc\n###
brooklyn__17__crop_002,STORE FOR RENT\n###
brooklyn__17__crop_003,total\nwireless
brooklyn__18__crop_001,Champion Laundry\nDry Cleaning Service\n###
brooklyn__18__crop_002,ABC\nBARBER SHOP\n###
brooklyn__18__crop_003,FLY WING E BIKE\n###
brooklyn__19__crop_001,total\n###
brooklyn__1__crop_001,OFF THE GRILL\n###
brooklyn__20__crop_001,island pops
brooklyn__20__crop_002,EMS ACCOUNTING SERVICE\n###
brooklyn__21__crop_001,Nostrands Nugs
brooklyn__21__crop_002,4 BROTHERS FOOD CORP\n###
brooklyn__23__crop_001,URBAN\nMARKET BY\n###
brooklyn__24__crop_001,RYERSON\n###
brooklyn__25__crop_001,URBAN\nMARKET BY\n###
brooklyn__26__crop_001,RYERSON\n###
brooklyn__27__crop_002,SHORTY CANDY\n###
brooklyn__28__crop_001,GALAXY\nBEAUTY SHOP\n###
brooklyn__29__crop_001,CROWN DISCOUNT STORE 99\n###
brooklyn__2__crop_001,DUTCH\nCLEANERS\n###
brooklyn__2__crop_002,VAPE N CLOUD\n573 NOSTRAND AVE\n###
brooklyn__2__crop_003,SPRINT REALTY INC\n###
brooklyn__30__crop_002,SHORT CANDY\n###
brooklyn__30__crop_003,812 CORP
brooklyn__31__crop_001,DELI GRILL\n###
brooklyn__32__crop_001,SALS RESTAURANT\n###
brooklyn__32__crop_002,EASTERN FRANKLIN\nWINES LIQUORS\n###
brooklyn__32__crop_003,DUNKIN\nDONUTS
brooklyn__33__crop_001,Capital One Bank
brooklyn__34__crop_001,Royal Yard Food\n###
brooklyn__34__crop_002,800 Candy Juice Bar
brooklyn__35__crop_001,STARBUCKS COFFEE
brooklyn__36__crop_001,EL BARRIO \nBURRITOS\n###
brooklyn__36__crop_002,Nail Salon\n###
brooklyn__37__crop_001,E MARTIN\nSALES RENTALS\n###
brooklyn__37__crop_002,GRILL DELI
brooklyn__38__crop_001,95\nSouth\n###
brooklyn__38__crop_002,PHARMACY\n###
brooklyn__38__crop_003,95 South\n###
brooklyn__38__crop_004,PHARMACY\n###
brooklyn__3__crop_001,LAUNDROMAT\n###
brooklyn__40__crop_001,SHEER MADNESS
brooklyn__41__crop_001,FRANKLIN EXPRESS\nLAUNDRY CENTER
brooklyn__42__crop_001,Bagel Pub
brooklyn__44__crop_001,SJ MARKET\n769
brooklyn__45__crop_001,HAPPY WOK\nCHINESE FOOD EAT IN TAKE OUT\n###
brooklyn__45__crop_002,PROPERTY FOR SALE\n###
brooklyn__46__crop_001,NOOKLYN
brooklyn__47__crop_001,PROPERTY FOR SALE\n###
brooklyn__47__crop_002,MISC
brooklyn__48__crop_001,RESTAURANT\n###
brooklyn__48__crop_002,DELI GROCERY\n###
brooklyn__49__crop_001,enterprise\nrent a car
brooklyn__49__crop_002,enterprise\nrent a car
brooklyn__4__crop_001,SuperMarket\nCorp\n###
brooklyn__50__crop_001,THE NEW ATLANTIC\nRestaurant\nSPANISH AMERICAN CUISINE\n###
brooklyn__51__crop_001,enterprise\nrent a car
brooklyn__52__crop_001,StateFarm\n###
brooklyn__54__crop_001,R FERRARO\nCOLLISION\n###
brooklyn__54__crop_002,CAROUSEL BEVERAGES\n###
brooklyn__55__crop_001,MIGHTY QUINNS\n###
brooklyn__57__crop_001,CAROUSEL BEVERAGES\n###
brooklyn__57__crop_003,Powerplay\n###
brooklyn__58__crop_001,Powerplay\n###
brooklyn__59__crop_001,NEW MILLENNIUM MOTORS INC\n###
brooklyn__5__crop_001,ROYAL\nBAKERY ROTI\nINC\n###
brooklyn__5__crop_002,Nostrand Gold Dealers\n577\n###
brooklyn__60__crop_001,Powerplay\n###
brooklyn__60__crop_004,RISE \nDEVELOPMENT\n###
brooklyn__61__crop_001,DONATO\n###
brooklyn__61__crop_002,DONATO INC\nPlumbing Heating\n###
brooklyn__62__crop_001,DRUG\nSTORE\n###
brooklyn__63__crop_001,FOOD CENTER\n###
brooklyn__63__crop_002,GRANDMA\nLAUNDRY CORNER INC
brooklyn__64__crop_001,BEAUTY SALON\n###
brooklyn__65__crop_001,HARDEE\n###
brooklyn__66__crop_001,DELI\nINC
brooklyn__66__crop_002,871\nMOZEB
brooklyn__68__crop_001,UNISEX SALON\n###
brooklyn__68__crop_002,Franklin Eyecare\n###
brooklyn__69__crop_001,AMY UNIQUE NAILS INC\nPROFESSIONAL NAIL CARE DESIGNS\n###
brooklyn__69__crop_002,SMOK \nSHOP\n###
brooklyn__69__crop_003,Lemon\nGrass\nJAMAICAN CUISINE\n###
brooklyn__70__crop_001,JUICY KING CRAB\n###
brooklyn__70__crop_002,JUICY KING CRAB\n###
brooklyn__71__crop_001,NAILS\n###
brooklyn__73__crop_001,POPEYES
brooklyn__73__crop_002,SuperFoodtown
brooklyn__75__crop_001,NEXT LEVEL\nFashions\n###
brooklyn__75__crop_002,Modern Nails\n###
brooklyn__76__crop_001,Modern Nails\n###
brooklyn__77__crop_001,Modern Nails\n###
brooklyn__77__crop_002,Mini Market\n###
brooklyn__78__crop_001,MNS 99 CENTS UP INC
brooklyn__79__crop_001,HAIR STUDIO\n###
brooklyn__7__crop_001,SPACE AVAILABLE\n###
brooklyn__80__crop_001,FULTON\n###
brooklyn__80__crop_002,Soldier Restaurant Inc\nBuffet\n###
brooklyn__80__crop_003,HAIR STUDIO\n###
brooklyn__81__crop_001,BEAUTY SUPPLY\n###
brooklyn__83__crop_001,FULTON\n###
brooklyn__83__crop_002,A GUSTO\n###
brooklyn__85__crop_002,LAUNDROMAT\n###
brooklyn__86__crop_002,Dominos\n###
brooklyn__87__crop_001,DOG DAYCARE
brooklyn__88__crop_001,Blooming Brows\n###
brooklyn__89__crop_001,Dreamer\nNails\n###
brooklyn__8__crop_001,NAILS\n###
brooklyn__90__crop_001,AR POSTAL MULTISERVICES\n###
brooklyn__91__crop_001,SOGHO HAIR Salon BRAIDING\n###
brooklyn__92__crop_002,NAIL
brooklyn__93__crop_001,AMINATA\nBRAIDING STYLING\n###
brooklyn__94__crop_001,RICKY S\n###
brooklyn__94__crop_002,NEW PEOPLES RESTAURANT\nCHINESE FOOD TO TAKE OUT\n###
brooklyn__94__crop_003,HARDWARE\n###
brooklyn__95__crop_001,NEW PEOPLES RESTAURANT\nCHINESE FOOD TO TAKE OUT\n###
brooklyn__95__crop_002,HARDWARE\n###
brooklyn__96__crop_001,Rockaway GOURMET DELI GRILL\n###
brooklyn__97__crop_001,BEAUTY SUPPLY INC\n###
