image_name,gt_text,source
brooklyn__100__crop_001,BARGAINLAND\nDEPARTMENT STORES\n###,human
brooklyn__100__crop_002,HIGH\nUNIVERSE\n###,human
brooklyn__10__crop_001,SPACE\nAVAILABLE\nMOD\n###,human
brooklyn__10__crop_002,ISLAND\nRIBHOUSE\n###,human
brooklyn__11__crop_001,LIT\nTAX\nSOLUTIONS\n###,human
brooklyn__12__crop_001,ISLAND\nRIBHOUSE\n###,human
brooklyn__12__crop_002,SPACE\nAVAILABLE\nMOD\n###,human
brooklyn__13__crop_001,FOOD WINE GROCER,human
brooklyn__13__crop_002,9ROUND\n30 MIN KICKBOX\n###,human
brooklyn__14__crop_002,Hello One Nail Spa\nInc\n###,human
brooklyn__15__crop_001,9 ROUND\n30 MIN KICKBOX FITNESS,human
brooklyn__15__crop_002,FOOD WINE GROCER\n###,human
brooklyn__16__crop_001,FLY WING E BIKE\n###,human
brooklyn__16__crop_002,CAMBRIDGE LEACH INC\n###,human
brooklyn__16__crop_003,BAJI,human
brooklyn__17__crop_001,Hello One Nail Spa\nInc\n###,human
brooklyn__17__crop_002,STORE FOR RENT\n###,human
brooklyn__17__crop_003,total\nwireless,human
brooklyn__18__crop_001,Champion Laundry\nDry Cleaning Service\n###,human
brooklyn__18__crop_002,ABC\nBARBER SHOP\n###,human
brooklyn__18__crop_003,FLY WING E BIKE\n###,human
brooklyn__19__crop_001,total\n###,human
brooklyn__1__crop_001,OFF THE GRILL\n###,human
brooklyn__20__crop_001,island pops,human
brooklyn__20__crop_002,EMS ACCOUNTING SERVICE\n###,human
brooklyn__21__crop_001,Nostrands Nugs,human
brooklyn__21__crop_002,4 BROTHERS FOOD CORP\n###,human
brooklyn__23__crop_001,URBAN\nMARKET BY\n###,human
brooklyn__24__crop_001,RYERSON\n###,human
brooklyn__25__crop_001,URBAN\nMARKET BY\n###,human
brooklyn__26__crop_001,RYERSON\n###,human
brooklyn__27__crop_002,SHORTY CANDY\n###,human
brooklyn__28__crop_001,GALAXY\nBEAUTY SHOP\n###,human
brooklyn__29__crop_001,CROWN DISCOUNT STORE 99\n###,human
brooklyn__2__crop_001,DUTCH\nCLEANERS\n###,human
brooklyn__2__crop_002,VAPE N CLOUD\n573 NOSTRAND AVE\n###,human
brooklyn__2__crop_003,SPRINT REALTY INC\n###,human
brooklyn__30__crop_002,SHORT CANDY\n###,human
brooklyn__30__crop_003,812 CORP,human
brooklyn__31__crop_001,DELI GRILL\n###,human
brooklyn__32__crop_001,SALS RESTAURANT\n###,human
brooklyn__32__crop_002,EASTERN FRANKLIN\nWINES LIQUORS\n###,human
brooklyn__32__crop_003,DUNKIN\nDONUTS,human
brooklyn__33__crop_001,Capital One Bank,human
brooklyn__34__crop_001,Royal Yard Food\n###,human
brooklyn__34__crop_002,800 Candy Juice Bar,human
brooklyn__35__crop_001,STARBUCKS COFFEE,human
brooklyn__36__crop_001,EL BARRIO \nBURRITOS\n###,human
brooklyn__36__crop_002,Nail Salon\n###,human
brooklyn__37__crop_001,E MARTIN\nSALES RENTALS\n###,human
brooklyn__37__crop_002,GRILL DELI,human
brooklyn__38__crop_001,95\nSouth\n###,human
brooklyn__38__crop_002,PHARMACY\n###,human
brooklyn__38__crop_003,95 South\n###,human
brooklyn__38__crop_004,PHARMACY\n###,human
brooklyn__3__crop_001,LAUNDROMAT\n###,human
brooklyn__40__crop_001,SHEER MADNESS,human
brooklyn__41__crop_001,FRANKLIN EXPRESS\nLAUNDRY CENTER,human
brooklyn__42__crop_001,Bagel Pub,human
brooklyn__44__crop_001,SJ MARKET\n769,human
brooklyn__45__crop_001,HAPPY WOK\nCHINESE FOOD EAT IN TAKE OUT\n###,human
brooklyn__45__crop_002,PROPERTY FOR SALE\n###,human
brooklyn__46__crop_001,NOOKLYN,human
brooklyn__47__crop_001,PROPERTY FOR SALE\n###,human
brooklyn__47__crop_002,MISC,human
brooklyn__48__crop_001,RESTAURANT\n###,human
brooklyn__48__crop_002,DELI GROCERY\n###,human
brooklyn__49__crop_001,enterprise\nrent a car,human
brooklyn__49__crop_002,enterprise\nrent a car,human
brooklyn__4__crop_001,SuperMarket\nCorp\n###,human
brooklyn__50__crop_001,THE NEW ATLANTIC\nRestaurant\nSPANISH AMERICAN CUISINE\n###,human
brooklyn__51__crop_001,enterprise\nrent a car,human
brooklyn__52__crop_001,StateFarm\n###,human
brooklyn__54__crop_001,R FERRARO\nCOLLISION\n###,human
brooklyn__54__crop_002,CAROUSEL BEVERAGES\n###,human
brooklyn__55__crop_001,MIGHTY QUINNS\n###,human
brooklyn__57__crop_001,CAROUSEL BEVERAGES\n###,human
brooklyn__57__crop_003,Powerplay\n###,human
brooklyn__58__crop_001,Powerplay\n###,human
brooklyn__59__crop_001,NEW MILLENNIUM MOTORS INC\n###,human
brooklyn__5__crop_001,ROYAL\nBAKERY ROTI\nINC\n###,human
brooklyn__5__crop_002,Nostrand Gold Dealers\n577\n###,human
brooklyn__60__crop_001,Powerplay\n###,human
brooklyn__60__crop_004,RISE \nDEVELOPMENT\n###,human
brooklyn__61__crop_001,DONATO\n###,human
brooklyn__61__crop_002,DONATO INC\nPlumbing Heating\n###,human
brooklyn__62__crop_001,DRUG\nSTORE\n###,human
brooklyn__63__crop_001,FOOD CENTER\n###,human
brooklyn__63__crop_002,GRANDMA\nLAUNDRY CORNER INC,human
brooklyn__64__crop_001,BEAUTY SALON\n###,human
brooklyn__65__crop_001,HARDEE\n###,human
brooklyn__66__crop_001,DELI\nINC,human
