image_name,gt_text,source
gangnam__100__crop_001,BBQ \nChicken\n비비큐치킨\n###,human
gangnam__10__crop_001,HOTEL\n###,human
gangnam__10__crop_002,Saboten\n###,human
gangnam__11__crop_001,LOTTERIA\n롯데리아\n###,human
gangnam__11__crop_002,짚동가리쌩주\n###,human
gangnam__12__crop_001,럭셔리브라더스\n###,human
gangnam__12__crop_002,신오약국\n###,human
gangnam__13__crop_001,The Coffee Bean\n###,human
gangnam__17__crop_001,MLB,human
gangnam__17__crop_002,espoir,human
gangnam__18__crop_001,MLB,human
gangnam__18__crop_002,우리은행\n강남역지점\n###,human
gangnam__19__crop_001,파파스레시피 2F\n###,human
gangnam__1__crop_001,milk\n###,human
gangnam__20__crop_001,THE \nPLACE\nITALIAN URBAN BISTRO,human
gangnam__21__crop_001,baskin BR robbins,human
gangnam__22__crop_001,혜화 돌쇠\n아저씨\n고르곤 졸라 피자,human
gangnam__23__crop_001,문교동낙지\n###,human
gangnam__24__crop_001,SUBWAY,human
gangnam__25__crop_001,GOLD,human
gangnam__27__crop_001,CU\n###,human
gangnam__28__crop_001,THE CAFE 8 6 8\n###,human
gangnam__29__crop_001,opera\n오페라\n라이브 유흥주점,human
gangnam__2__crop_001,HERRY S COFFEE\n###,human
gangnam__30__crop_001,Emoi\n###,human
gangnam__31__crop_001,정통중국요리\n###,human
gangnam__32__crop_001,IZAKAYA TAN\n###,human
gangnam__33__crop_001,DUNKIN\nDONUTS\n###,human
gangnam__34__crop_001,MINI STOP\n###,human
gangnam__35__crop_001,olleh O,human
gangnam__35__crop_002,강남역 \n효성해링턴타워\n###,human
gangnam__35__crop_004,olleh O\n###,human
gangnam__35__crop_006,강남역 \n효성해링턴타워\n###,human
gangnam__37__crop_001,eye scream\n아이스크림안경\n###,human
gangnam__38__crop_001,CANDLE SOAP\n###,human
gangnam__39__crop_001,쭈꾸미불낙,human
gangnam__3__crop_001,Yomenya Goemon\nJapanese Spaghetti\n###,human
gangnam__40__crop_001,로빈힐\nBEER 생맥주\n###,human
gangnam__41__crop_001,모닝글로리\n###,human
gangnam__42__crop_001,이\n흑마늘족발 보쌈 순대국\n당\n###,human
gangnam__43__crop_001,7\nELEVEN,human
gangnam__44__crop_001,7\nELEVEN,human
gangnam__44__crop_002,100 국내산 1등급 생고기 \n영\n껍데기\n동\n###,human
gangnam__45__crop_001,영동\n100 국내산 1등급 생고기\n껍데기 소금구이,human
gangnam__46__crop_001,통돼지찌개집\n###,human
gangnam__47__crop_001,나주\n###,human
gangnam__48__crop_001,FOOD\nCAFE\n###,human
gangnam__49__crop_001,PARIS BAGUETTE\n###,human
gangnam__4__crop_001,CASA \nJOVEN\n###,human
gangnam__50__crop_001,coffeesmith\n커피스미스,human
gangnam__51__crop_001,GS25,human
gangnam__52__crop_001,미즈메디 병원\nMizMedi Hospital,human
gangnam__54__crop_001,EM 학원\n###,human
gangnam__54__crop_002,ZUM 줌\n필라테스 \n플라잉 요가\n###,human
gangnam__55__crop_001,대성\nSince 1985\n대치본점\n###,human
gangnam__55__crop_002,ROYAL KITCHEN\n###,human
gangnam__55__crop_003,로얄키친\n###,human
gangnam__56__crop_001,홍어삼합 생선구이\n생선조림 갈치조림\n해남세발낙지\n###,human
gangnam__56__crop_002,부동산 법률중개사\n믿음부동산 \n공인중개사 \n사무소\n###,human
gangnam__57__crop_001,대\n삼성서점\n치\n###,human
gangnam__57__crop_002,솔로몬\n공인중개사사무소\n###,human
gangnam__58__crop_001,VIP\n노래방,human
gangnam__58__crop_002,정관장\n홍삼\n###,human
gangnam__59__crop_001,메디팜 나리약국\n###,human
gangnam__59__crop_002,VIP\n노래방,human
gangnam__59__crop_003,정관장\n###,human
gangnam__5__crop_001,MOS BURGER\n###,human
gangnam__5__crop_003,놀부 \n부대찌개\n###,human
gangnam__60__crop_001,이수정국어 논술\n###,human
gangnam__61__crop_001,PAIK S COFFEE\n###,human
gangnam__61__crop_002,MINI STOP\n###,human
gangnam__62__crop_001,MINISTOP\n###,human
gangnam__62__crop_002,MINISTOP\n###,human
gangnam__63__crop_001,MINISTOP\n###,human
gangnam__64__crop_001,SUSHI BROS\n###,human
gangnam__64__crop_002,MINI STOP\n###,human
gangnam__64__crop_003,SIZAK STUDY CAFE\n###,human
gangnam__65__crop_001,빽다방\n###,human
gangnam__66__crop_002,으뜸 \n공인중개사\n###,human
gangnam__67__crop_001,한강 오토바이\n###,human
gangnam__67__crop_002,천재 \n공인중개사\n###,human
gangnam__68__crop_001,by LYNN\n###,human
gangnam__69__crop_001,미래향\n정통중화요리,human
gangnam__6__crop_001,HERRY S COFFEE\n###,human
gangnam__70__crop_001,병천순대\n전통음식\n###,human
gangnam__70__crop_002,요일\n메뉴\n라라감자탕\n###,human
gangnam__70__crop_003,민속주점\n###,human
gangnam__71__crop_001,금초한의원\n###,human
gangnam__71__crop_002,맥주창고\n###,human
gangnam__71__crop_003,박지향 Book Cafe\n###,human
gangnam__71__crop_004,강남김밥\n###,human
gangnam__72__crop_001,CU\n###,human
gangnam__73__crop_001,정재용헤어\n###,human
gangnam__73__crop_002,HAIR SALON\nby JUNG JAE YONG\n###,human
gangnam__74__crop_001,밥타임\n###,human
gangnam__74__crop_002,MARIAN,ocr_draft
gangnam__75__crop_001,함 박 웃 음\n밥 \n분식,human
gangnam__76__crop_001,강남공인중개사무소\n유니에셋\n###,human
gangnam__76__crop_002,강남\n공인중개사\n사무소\n유니에셋\n###,human
gangnam__77__crop_001,대치래미안\n공인중개사사무소\n###,human
gangnam__77__crop_002,영광\n공인중개사 사무소\n508-8249\n###,human
gangnam__78__crop_001,영광 \n공인중개사사무소\n###,human
gangnam__78__crop_002,리빙인테리어\n###,human
gangnam__79__crop_001,GS25\n###,human
gangnam__79__crop_002,시래기국 깡장보리밥\n###,human
gangnam__7__crop_001,Pomato\n###,human
gangnam__7__crop_002,딸부자네\n불백\n###,human
gangnam__7__crop_003,7\nELEVEN,ocr_draft
gangnam__80__crop_001,GS25\n###,human
gangnam__81__crop_001,GS25\n###,human
gangnam__81__crop_002,시래기국 깡장보리밥\n계몽돈까스\n###,human
gangnam__82__crop_001,김영희 동태찜 코다리냉면\n###,human
gangnam__83__crop_001,김영희 동태찜 코다리냉면\n###,human
gangnam__84__crop_001,상품권닷컴\n###,human
gangnam__84__crop_002,Pasta Dough\n###,human
gangnam__85__crop_001,상품권닷컴\n###,human
gangnam__85__crop_002,Pasta Dough\n###,human
gangnam__85__crop_003,카츠젠,human
gangnam__86__crop_001,대왕\n부대찌개\n###,human
gangnam__86__crop_002,카츠젠\n###,human
gangnam__86__crop_003,상품권닷컴\n###,human
gangnam__87__crop_001,엠엑스 \nMX \n피부과\n###,human
gangnam__87__crop_002,세계맥주할인점\nBROZ PUB\n###,human
gangnam__88__crop_001,창포\n###,human
gangnam__89__crop_001,Nice to CU\n###,human
gangnam__8__crop_002,7\nELEVEN,human
gangnam__8__crop_003,THE FOOT SHOP\n###,human
gangnam__90__crop_001,Nice to CU\n###,human
gangnam__90__crop_002,필리아 약국\n###,human
gangnam__91__crop_001,Nice to CU,human
gangnam__92__crop_001,I Nail,human
gangnam__94__crop_001,CAFFE PIE\n###,human
gangnam__95__crop_001,헤어명가\n###,human
gangnam__96__crop_001,비에이블\n스터디카페 24시\n###,human
gangnam__97__crop_001,7,human
gangnam__98__crop_001,KOREA POST\n서울대치4동\n우편취급국,human
gangnam__99__crop_001,WB \n워너비\n###,human
gangnam__9__crop_001,초 만 원\n###,human
