image_name,gt_text,source
suwon__100__crop_001,전주 콩나물국밥\n###,human
suwon__10__crop_001,7\nELEVEN,human
suwon__10__crop_002,Bur3wa,human
suwon__10__crop_003,ZOO COFFEE\n###,human
suwon__11__crop_001,천사네일\n###,human
suwon__12__crop_001,JS 미용재료\n###,human
suwon__13__crop_001,Chou\nCake House\n###,human
suwon__13__crop_002,뼈나라 감자탕\n###,human
suwon__14__crop_001,에이스 PC\n###,human
suwon__15__crop_001,HAIR\nCARE\n커리어 헤어 디자인\n###,human
suwon__16__crop_001,골드문주차장,human
suwon__17__crop_001,야\n포장마차\n광\n###,human
suwon__18__crop_001,삼정세탁\n###,human
suwon__19__crop_001,이지비아\n###,human
suwon__1__crop_001,baskin\nBR\nrobbins,human
suwon__1__crop_002,SUNS\nBURGER\n눈꽃빙수\n###,human
suwon__20__crop_001,권약국\n###,human
suwon__20__crop_002,권약국\n###,human
suwon__21__crop_001,태평갈매기\n###,human
suwon__22__crop_001,천사강아지\n###,human
suwon__23__crop_001,백학다방\n###,human
suwon__24__crop_001,이동통신\n예일음악사\n###,human
suwon__25__crop_001,로맨틱 커피숍\n###,human
suwon__25__crop_002,모범약국\n###,human
suwon__26__crop_001,조이모텔,human
suwon__27__crop_001,한일통닭\n호프\n###,human
suwon__28__crop_001,설미순대국\n###,human
suwon__29__crop_001,MALU HOTEL,human
suwon__2__crop_002,T WORLD,human
suwon__2__crop_003,T WORLD,human
suwon__2__crop_004,LaLa COIN,human
suwon__30__crop_001,G\nMALU HOTEL\n###,human
suwon__31__crop_001,최가네\n두부해물마을\n###,human
suwon__32__crop_001,신바람돼지주물럭\n###,human
suwon__33__crop_001,하우주 스즈키 수원대리점\n###,human
suwon__34__crop_001,쪽갈비전문점\n예감\n###,human
suwon__35__crop_001,용인\n전통\n순대국\n###,human
suwon__36__crop_001,대구반야월막창\n###,human
suwon__36__crop_002,지하철\n###,human
suwon__36__crop_003,색다른HAIR,ocr_draft
suwon__37__crop_001,미가락\n###,human
suwon__37__crop_002,육회한 남자\n###,human
suwon__39__crop_001,7형제 감자탕\n###,human
suwon__3__crop_001,돼랑\n###,human
suwon__40__crop_001,BAR\nBOBOS,human
suwon__40__crop_002,참한고기,human
suwon__41__crop_001,한라돈\n###,human
suwon__42__crop_001,BAR \BOBOS,human
suwon__42__crop_002,두리아족보쌈\n###,human
suwon__42__crop_003,아리랑\n빈대떡\n###,human
suwon__43__crop_001,통큰해물\n###,human
suwon__43__crop_002,미소갈비,human
suwon__44__crop_001,세렌디피티\n###,human
suwon__45__crop_001,여왕통골뱅이\n###,human
suwon__45__crop_002,부부식당\n###,human
suwon__46__crop_001,김밥친구\n###,human
suwon__46__crop_002,Day Hair\n###,human
suwon__47__crop_001,불날개닭발\n###,human
suwon__47__crop_002,굿모닝\n공인중개사 \n사무소\n###,human
suwon__48__crop_001,황소고집\n한우곱창\n###,human
suwon__48__crop_002,불날개닭발\n###,human
suwon__49__crop_001,세진상사\n전기\n철물\n건축자재\n###,human
suwon__4__crop_001,동태탕\n왕해물찜\n###,human
suwon__4__crop_002,밥\n해주는\n남자,human
suwon__50__crop_001,조순헤어샵\n###,human
suwon__50__crop_002,G G Be\n지지비네일\n###,human
suwon__51__crop_001,비젼 \n공인중개사\n###,human
suwon__52__crop_001,모나리자 \n미용실\n###,human
suwon__53__crop_001,SooChon\n###,human
suwon__54__crop_001,북촌손만두\n###,human
suwon__55__crop_001,불닭발\n엽기떡볶이\n###,human
suwon__56__crop_001,삼아 주단 이불\n###,human
suwon__57__crop_001,약,human
suwon__58__crop_001,BYC\n###,human
suwon__58__crop_002,한솥\n###,human
suwon__59__crop_001,전주콩나루\n콩나물국밥\n###,human
suwon__59__crop_002,황금의 집\n###,human
suwon__59__crop_003,남성컷\n###,human
suwon__5__crop_001,진미치킨\n###,human
suwon__5__crop_002,역전 진미 치킨\n###,human
suwon__60__crop_001,한빛약국,human
suwon__60__crop_002,약,human
suwon__61__crop_001,전주콩나루 \n황금의집 \n콩나물국밥\n###,human
suwon__61__crop_002,전주콩나루 콩나물국밥\n###,human
suwon__62__crop_001,권약국,human
suwon__62__crop_002,권약국,human
suwon__63__crop_001,산 이 내 린 밥 상\n곤드레밥집\n###,human
suwon__64__crop_001,곤드레밥집\n###,human
suwon__65__crop_001,대우\n마이홈\n###,human
