image_name,region,name,tag,verdict,eval_name,eval_tag
brooklyn__100__crop_001,brooklyn,BARGAINLAND,shop=supermarket,ok,1,1
brooklyn__100__crop_002,brooklyn,HIGH UNIVERSE,unknown,name_only,1,0
brooklyn__10__crop_002,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ok,1,1
brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,unknown,name_only,1,0
brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ok,1,1
brooklyn__13__crop_001,brooklyn,FOOD WINE GROCER,shop=supermarket,ok,1,1
brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,ok,1,1
brooklyn__14__crop_002,brooklyn,Hello One Nail Spa,shop=beauty,ok,1,1
brooklyn__15__crop_001,brooklyn,30 MIN KICKBOX FITNESS,leisure=fitness_centre,ok,1,1
brooklyn__15__crop_002,brooklyn,FOOD WINE GROCER,shop=supermarket,ok,1,1
brooklyn__16__crop_001,brooklyn,FLY WING E BIKE,shop=car_repair,ok,1,1
brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,ok,1,1
brooklyn__17__crop_001,brooklyn,Hello One Nail Spa,shop=beauty,ok,1,1
brooklyn__17__crop_003,brooklyn,total wireless,shop=mobile_phone,ok,1,1
brooklyn__18__crop_001,brooklyn,Dry Cleaning Service,shop=laundry,ok,1,1
brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,shop=hairdresser,ok,1,1
brooklyn__18__crop_003,brooklyn,FLY WING E BIKE,shop=car_repair,ok,1,1
brooklyn__19__crop_001,brooklyn,total wireless,shop=mobile_phone,ok,1,1
brooklyn__1__crop_001,brooklyn,OFF THE GRILL,amenity=restaurant,ok,1,1
brooklyn__20__crop_001,brooklyn,island pops,amenity=cafe,ok,1,1
brooklyn__20__crop_002,brooklyn,EMS ACCOUNTING SERVICE,office=company,ok,1,1
brooklyn__21__crop_001,brooklyn,Nostrands Nugs,shop=supermarket,ok,1,1
brooklyn__21__crop_002,brooklyn,4 BROTHERS FOOD CORP,amenity=restaurant,ok,1,1
brooklyn__23__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,ok,1,1
brooklyn__24__crop_001,brooklyn,RYERSON,amenity=restaurant,ok,1,1
brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,ok,1,1
brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,ok,1,1
brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,ok,1,1
brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,ok,1,1
brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,ok,1,1
brooklyn__2__crop_001,brooklyn,DUTCH CLEANERS,shop=laundry,ok,1,1
brooklyn__2__crop_002,brooklyn,VAPE N CLOUD,shop=smoke_shop,ok,1,1
brooklyn__2__crop_003,brooklyn,SPRINT REALTY INC,office=estate_agent,ok,1,1
