image_name,region,gt_text,draft_name,draft_tag,matched_kw,confidence
gangnam__100__crop_001,gangnam,BBQ \nChicken\n비비큐치킨\n###,Chicken,amenity=fast_food,치킨,4
gangnam__10__crop_001,gangnam,HOTEL\n###,HOTEL,tourism=hotel,hotel,3
gangnam__10__crop_002,gangnam,Saboten\n###,Saboten,,,1
gangnam__11__crop_001,gangnam,LOTTERIA\n롯데리아\n###,LOTTERIA,amenity=fast_food,롯데리아,4
gangnam__11__crop_002,gangnam,짚동가리쌩주\n###,짚동가리쌩주,,,1
gangnam__12__crop_001,gangnam,럭셔리브라더스\n###,럭셔리브라더스,,,1
gangnam__12__crop_002,gangnam,신오약국\n###,신오약국,amenity=pharmacy,약국,3
gangnam__13__crop_001,gangnam,The Coffee Bean\n###,The Coffee Bean,amenity=cafe,coffee,3
gangnam__17__crop_001,gangnam,MLB,MLB,,,1
gangnam__17__crop_002,gangnam,espoir,espoir,,,1
gangnam__18__crop_001,gangnam,MLB,MLB,,,1
gangnam__18__crop_002,gangnam,우리은행\n강남역지점\n###,강남역지점,amenity=bank,은행,4
gangnam__19__crop_001,gangnam,파파스레시피 2F\n###,파파스레시피 2F,,,1
gangnam__1__crop_001,gangnam,milk\n###,milk,,,1
gangnam__20__crop_001,gangnam,THE \nPLACE\nITALIAN URBAN BISTRO,ITALIAN URBAN BISTRO,,,2
gangnam__21__crop_001,gangnam,baskin BR robbins,baskin BR robbins,amenity=ice_cream,baskin,3
gangnam__22__crop_001,gangnam,혜화 돌쇠\n아저씨\n고르곤 졸라 피자,고르곤 졸라 피자,,,2
gangnam__23__crop_001,gangnam,문교동낙지\n###,문교동낙지,,,1
gangnam__24__crop_001,gangnam,SUBWAY,SUBWAY,amenity=fast_food,subway,3
gangnam__25__crop_001,gangnam,GOLD,GOLD,,,1
gangnam__27__crop_001,gangnam,CU\n###,CU,shop=convenience,cu,3
gangnam__28__crop_001,gangnam,THE CAFE 8 6 8\n###,THE CAFE 8 6 8,amenity=cafe,cafe,3
gangnam__29__crop_001,gangnam,opera\n오페라\n라이브 유흥주점,라이브 유흥주점,,,2
gangnam__2__crop_001,gangnam,HERRY S COFFEE\n###,HERRY S COFFEE,amenity=cafe,coffee,3
gangnam__30__crop_001,gangnam,Emoi\n###,Emoi,,,1
gangnam__31__crop_001,gangnam,정통중국요리\n###,정통중국요리,,,1
gangnam__32__crop_001,gangnam,IZAKAYA TAN\n###,IZAKAYA TAN,,,1
gangnam__33__crop_001,gangnam,DUNKIN\nDONUTS\n###,DUNKIN,amenity=cafe,dunkin,4
gangnam__34__crop_001,gangnam,MINI STOP\n###,MINI STOP,,,1
gangnam__35__crop_001,gangnam,olleh O,olleh O,,,1
gangnam__35__crop_002,gangnam,강남역 \n효성해링턴타워\n###,효성해링턴타워,,,2
