image_name,region,name,tag,verdict,ts
gangnam__97__crop_001,gangnam,7,shop=convenience,ok,2026-08-10 01:19:16
suwon__57__crop_001,suwon,약,amenity=pharmacy,ok,2026-08-10 01:20:12
suwon__60__crop_002,suwon,약,amenity=pharmacy,ok,2026-08-10 01:20:17
brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,ok,2026-08-10 01:23:52
brooklyn__16__crop_003,brooklyn,BAJI,,skip,2026-08-10 01:24:29
brooklyn__17__crop_002,brooklyn,STORE FOR RENT,,non,2026-08-10 01:25:27
brooklyn__19__crop_001,brooklyn,total wireless,shop=mobile_phone,ok,2026-08-10 01:25:59
brooklyn__20__crop_001,brooklyn,island pops,amenity=cafe,ok,2026-08-10 02:13:18
gangnam__100__crop_001,gangnam,Chicken,amenity=fast_food,ok,2026-08-10 02:16:33
gangnam__10__crop_001,gangnam,HOTEL,tourism=hotel,ok,2026-08-10 02:16:42
gangnam__10__crop_002,gangnam,Saboten,amenity=restaurant,ok,2026-08-10 02:31:34
gangnam__11__crop_001,gangnam,LOTTERIA,amenity=fast_food,ok,2026-08-10 02:31:37
gangnam__11__crop_002,gangnam,짚동가리쌩주,amenity=bar,ok,2026-08-10 02:31:47
gangnam__12__crop_001,gangnam,럭셔리브라더스,office=company,ok,2026-08-10 02:32:33
gangnam__12__crop_002,gangnam,신오약국,amenity=pharmacy,ok,2026-08-10 02:32:36
gangnam__13__crop_001,gangnam,The Coffee Bean,amenity=cafe,ok,2026-08-10 02:32:38
gangnam__17__crop_001,gangnam,MLB,shop=clothes,ok,2026-08-10 02:32:58
gangnam__17__crop_002,gangnam,espoir,shop=beauty,ok,2026-08-10 02:34:01
gangnam__18__crop_001,gangnam,MLB,shop=clothes,ok,2026-08-10 02:34:05
gangnam__18__crop_002,gangnam,우리은행 강남역지점,amenity=bank,ok,2026-08-10 02:34:17
gangnam__19__crop_001,gangnam,파파스레시피 2F,amenity=restaurant,ok,2026-08-10 02:40:49
gangnam__1__crop_001,gangnam,milk,,name_only,2026-08-10 04:01:36
gangnam__20__crop_001,gangnam,THE PLACE ITALIAN URBAN BISTRO,amenity=restaurant,ok,2026-08-10 04:02:10
gangnam__1__crop_001,gangnam,milk,amenity=singing,ok,2026-08-10 04:02:45
gangnam__21__crop_001,gangnam,baskin BR robbins,amenity=ice_cream,ok,2026-08-10 04:02:49
