model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag,rag_hits,in_db
gemma4:31b,vlmrag,brooklyn__100__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND DEPARTMENT STORES,shop=supermarket,5,1
gemma4:31b,vlmrag,brooklyn__100__crop_002,brooklyn,HIGH UNIVERSE,,HIGH UNIVERSE,shop=smoke_shop,5,0
gemma4:31b,vlmrag,brooklyn__10__crop_002,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,ELITE TAX SOLUTIONS INC.,office=company,5,0
gemma4:31b,vlmrag,brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__13__crop_001,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=convenience,5,0
gemma4:31b,vlmrag,brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,9ROUND,leisure=fitness_centre,5,0
gemma4:31b,vlmrag,brooklyn__14__crop_002,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty,5,0
gemma4:31b,vlmrag,brooklyn__15__crop_001,brooklyn,30 MIN KICKBOX FITNESS,leisure=fitness_centre,9ROUND,leisure=fitness_centre,5,0
gemma4:31b,vlmrag,brooklyn__15__crop_002,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=convenience,5,0
gemma4:31b,vlmrag,brooklyn__16__crop_001,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-BIKE,shop=motorcycle,5,1
gemma4:31b,vlmrag,brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,CAMBRIDGE & LEACH INC.,office=company,5,0
gemma4:31b,vlmrag,brooklyn__17__crop_001,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty,5,0
gemma4:31b,vlmrag,brooklyn__17__crop_003,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone,5,0
gemma4:31b,vlmrag,brooklyn__18__crop_001,brooklyn,Dry Cleaning Service,shop=laundry,Champion Laundry & Dry Cleaning Service,shop=laundry,5,0
gemma4:31b,vlmrag,brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,shop=hairdresser,ABC II BARBER SHOP,shop=hairdresser,5,0
gemma4:31b,vlmrag,brooklyn__18__crop_003,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-BIKE,shop=motorcycle,5,1
gemma4:31b,vlmrag,brooklyn__19__crop_001,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone,5,0
gemma4:31b,vlmrag,brooklyn__1__crop_001,brooklyn,OFF THE GRILL,amenity=restaurant,OFF THE GRILL,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__20__crop_001,brooklyn,island pops,amenity=cafe,island pops,amenity=ice_cream,5,1
gemma4:31b,vlmrag,brooklyn__20__crop_002,brooklyn,EMS ACCOUNTING SERVICE,office=company,EMS Accounting Service inc,office=company,5,0
gemma4:31b,vlmrag,brooklyn__21__crop_001,brooklyn,Nostrands Nugs,shop=supermarket,Nostrands Nugs,amenity=fast_food,5,0
gemma4:31b,vlmrag,brooklyn__21__crop_002,brooklyn,4 BROTHERS FOOD CORP,amenity=restaurant,4 BROTHERS FOOD CORP,shop=convenience,5,0
gemma4:31b,vlmrag,brooklyn__23__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET BY KeyFood,shop=supermarket,5,0
gemma4:31b,vlmrag,brooklyn__24__crop_001,brooklyn,RYERSON,amenity=restaurant,the RYERSON,tourism=hotel,5,0
gemma4:31b,vlmrag,brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET BY Key Food,shop=supermarket,5,0
gemma4:31b,vlmrag,brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,the RYERSON,tourism=hotel,5,0
gemma4:31b,vlmrag,brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,SHORTY CANDY & Grocery Corp.,shop=convenience,5,0
gemma4:31b,vlmrag,brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,GALAXY BEAUTY SHOP,shop=beauty,5,1
gemma4:31b,vlmrag,brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,CROWN DISCOUNT STORE,shop=convenience,5,0
gemma4:31b,vlmrag,brooklyn__2__crop_001,brooklyn,DUTCH CLEANERS,shop=laundry,DUTCH CLEANERS,shop=laundry,5,1
gemma4:31b,vlmrag,brooklyn__2__crop_002,brooklyn,VAPE N CLOUD,shop=smoke_shop,VAPE N CLOUD,shop=smoke_shop,5,1
gemma4:31b,vlmrag,brooklyn__2__crop_003,brooklyn,SPRINT REALTY INC,office=estate_agent,SPRINT REALTY INC.,office=estate_agent,5,0
gemma4:31b,vlmrag,brooklyn__30__crop_002,brooklyn,SHORT CANDY,shop=supermarket,SHORTY CANDY & Grocery Corp.,shop=convenience,5,0
gemma4:31b,vlmrag,brooklyn__30__crop_003,brooklyn,812 CORP,shop=supermarket,812 CORP.,office=company,5,1
gemma4:31b,vlmrag,brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,WISE DELI & GRILL,shop=convenience,5,1
gemma4:31b,vlmrag,brooklyn__32__crop_001,brooklyn,SALS RESTAURANT,amenity=restaurant,SAL'S RESTAURANT,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__32__crop_002,brooklyn,EASTERN FRANKLIN WINES LIQUORS,amenity=bar,EASTERN & FRANKLIN WINES & LIQUORS,shop=convenience,5,1
gemma4:31b,vlmrag,brooklyn__32__crop_003,brooklyn,DUNKIN,shop=bakery,DUNKIN' DONUTS,amenity=fast_food,5,1
gemma4:31b,vlmrag,brooklyn__33__crop_001,brooklyn,Capital One Bank,amenity=bank,Capital One Bank,amenity=bank,5,0
gemma4:31b,vlmrag,brooklyn__34__crop_001,brooklyn,Royal Yard Food,amenity=restaurant,Royal Yard Food,amenity=restaurant,5,0
gemma4:31b,vlmrag,brooklyn__34__crop_002,brooklyn,800 Candy Juice Bar,amenity=bar,800 Candy & Juice Bar,amenity=fast_food,5,0
gemma4:31b,vlmrag,brooklyn__35__crop_001,brooklyn,STARBUCKS COFFEE,amenity=cafe,STARBUCKS COFFEE,amenity=cafe,5,0
gemma4:31b,vlmrag,brooklyn__36__crop_001,brooklyn,EL BARRIO BURRITOS,amenity=restaurant,EL BARRIO BURRITOS,amenity=fast_food,5,1
gemma4:31b,vlmrag,brooklyn__36__crop_002,brooklyn,Nail Salon,shop=hairdresser,Jun Nail Salon,shop=beauty,5,0
gemma4:31b,vlmrag,brooklyn__37__crop_001,brooklyn,E MARTIN SALES RENTALS,office=estate_agent,E. MARTIN SALES & RENTALS,office=estate_agent,5,1
gemma4:31b,vlmrag,brooklyn__37__crop_002,brooklyn,GRILL DELI,shop=convenience,GRILL & DELI,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__38__crop_001,brooklyn,95 South,amenity=restaurant,95 South,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__38__crop_002,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy,5,0
gemma4:31b,vlmrag,brooklyn__38__crop_003,brooklyn,95 South,amenity=restaurant,95 South,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__38__crop_004,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy,5,0
gemma4:31b,vlmrag,brooklyn__3__crop_001,brooklyn,LAUNDROMAT,shop=laundry,LAUNDROMAT,shop=laundry,5,1
gemma4:31b,vlmrag,brooklyn__40__crop_001,brooklyn,SHEER MADNESS,shop=hairdresser,SHEER MADNESS,shop=hairdresser,5,1
gemma4:31b,vlmrag,brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,FRANKLIN EXPRESS LAUNDRY CENTER,shop=laundry,5,0
gemma4:31b,vlmrag,brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,Bagel Pub,amenity=fast_food,5,1
gemma4:31b,vlmrag,brooklyn__44__crop_001,brooklyn,SJ MARKET,shop=supermarket,SJ MARKET,shop=convenience,5,0
gemma4:31b,vlmrag,brooklyn__45__crop_001,brooklyn,HAPPY WOK,amenity=restaurant,HAPPY WOK,amenity=fast_food,5,1
gemma4:31b,vlmrag,brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,NOOKLYN,office=estate_agent,5,1
gemma4:31b,vlmrag,brooklyn__47__crop_002,brooklyn,MISC,amenity=restaurant,MISC,amenity=restaurant,5,1
gemma4:31b,vlmrag,brooklyn__48__crop_001,brooklyn,RESTAURANT,amenity=restaurant,Maria & Tony RESTAURANT,amenity=restaurant,5,0
gemma4:31b,vlmrag,brooklyn__48__crop_002,brooklyn,DELI GROCERY,shop=convenience,Amigos DELI & GROCERY,shop=convenience,5,1
gemma4:31b,vlmrag,brooklyn__49__crop_001,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental,5,1
gemma4:31b,vlmrag,brooklyn__49__crop_002,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental,5,1
