model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag,rag_hits,in_db
gemma3:12b,rag,brooklyn__100__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND,shop,5,1
gemma3:12b,rag,brooklyn__100__crop_002,brooklyn,HIGH UNIVERSE,,HIGH,amenity=cafe,5,0
gemma3:12b,rag,brooklyn__10__crop_002,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND &RIBHOUSE,amenity=restaurant,5,1
gemma3:12b,rag,brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,TAX ELITE SOLUTIONS INC.,office=company,5,0
gemma3:12b,rag,brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,5,1
gemma3:12b,rag,brooklyn__13__crop_001,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=supermarket,5,0
gemma3:12b,rag,brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,OROUND,leisure=fitness_centre,5,0
gemma3:12b,rag,brooklyn__14__crop_002,brooklyn,Hello One Nail Spa,shop=beauty,LI,office=company,5,0
gemma3:12b,rag,brooklyn__15__crop_001,brooklyn,30 MIN KICKBOX FITNESS,leisure=fitness_centre,9ROUND,leisure=fitness_centre,5,0
gemma3:12b,rag,brooklyn__15__crop_002,brooklyn,FOOD WINE GROCER,shop=supermarket,WeLoue,amenity=bar,5,0
gemma3:12b,rag,brooklyn__16__crop_001,brooklyn,FLY WING E BIKE,shop=car_repair,Fly Wing E-Bike,shop=car_repair,5,1
gemma3:12b,rag,brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,Pe CAMBRIDGE & LEACH INC.,amenity=clinic,5,0
gemma3:12b,rag,brooklyn__17__crop_001,brooklyn,Hello One Nail Spa,shop=beauty,One Nail Spa,shop=beauty,5,0
gemma3:12b,rag,brooklyn__17__crop_003,brooklyn,total wireless,shop=mobile_phone,total,shop=mobile_phone,5,0
gemma3:12b,rag,brooklyn__18__crop_001,brooklyn,Dry Cleaning Service,shop=laundry,Champion Landay,shop=laundry,5,0
gemma3:12b,rag,brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,shop=hairdresser,ABC II,shop=hairdresser,5,0
gemma3:12b,rag,brooklyn__18__crop_003,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-Bike,shop=motorcycle,5,1
gemma3:12b,rag,brooklyn__19__crop_001,brooklyn,total wireless,shop=mobile_phone,total,shop=mobile_phone,5,0
gemma3:12b,rag,brooklyn__1__crop_001,brooklyn,OFF THE GRILL,amenity=restaurant,MEDITERRANEAN CUISINE,amenity=restaurant,5,1
gemma3:12b,rag,brooklyn__20__crop_001,brooklyn,island pops,amenity=cafe,istand pops,amenity=ice_cream,5,1
gemma3:12b,rag,brooklyn__20__crop_002,brooklyn,EMS ACCOUNTING SERVICE,office=company,EMS ACCOUNTING SErVICe,office=company,5,0
gemma3:12b,rag,brooklyn__21__crop_001,brooklyn,Nostrands Nugs,shop=supermarket,Nostrands,shop=bakery,5,0
gemma3:12b,rag,brooklyn__21__crop_002,brooklyn,4 BROTHERS FOOD CORP,amenity=restaurant,4 BROTHERS FOOD CORP,shop=convenience,5,0
gemma3:12b,rag,brooklyn__23__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,FRESH,shop=supermarket,5,0
gemma3:12b,rag,brooklyn__24__crop_001,brooklyn,RYERSON,amenity=restaurant,RYERSON,amenity=cafe,5,0
gemma3:12b,rag,brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET,shop=supermarket,5,0
gemma3:12b,rag,brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,RYERSON,shop=convenience,5,0
gemma3:12b,rag,brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,SHORTYGANDY,shop=convenience,5,0
gemma3:12b,rag,brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,GALAXY,shop=beauty,5,1
gemma3:12b,rag,brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,CROWN DISCOUNT STORE,shop=supermarket,5,0
gemma3:12b,rag,brooklyn__2__crop_001,brooklyn,DUTCH CLEANERS,shop=laundry,DUTCH,shop=laundry,5,1
gemma3:12b,rag,brooklyn__2__crop_002,brooklyn,VAPE N CLOUD,shop=smoke_shop,VAPE N CLOUD,shop=smoke_shop,5,1
gemma3:12b,rag,brooklyn__2__crop_003,brooklyn,SPRINT REALTY INC,office=estate_agent,SPRINT REALTY INC.,office=estate_agent,5,0
gemma3:12b,rag,brooklyn__30__crop_002,brooklyn,SHORT CANDY,shop=supermarket,ocer,shop=convenience,5,0
gemma3:12b,rag,brooklyn__30__crop_003,brooklyn,812 CORP,shop=supermarket,812 CORP.,office=company,5,1
gemma3:12b,rag,brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,DELI&GRILL,amenity=restaurant,5,1
gemma3:12b,rag,brooklyn__32__crop_001,brooklyn,SALS RESTAURANT,amenity=restaurant,SAL'S,amenity=restaurant,5,1
gemma3:12b,rag,brooklyn__32__crop_002,brooklyn,EASTERN FRANKLIN WINES LIQUORS,amenity=bar,WINES & LIQUORS,shop=convenience,5,1
gemma3:12b,rag,brooklyn__32__crop_003,brooklyn,DUNKIN,shop=bakery,DUNKIN,amenity=fast_food,5,1
gemma3:12b,rag,brooklyn__33__crop_001,brooklyn,Capital One Bank,amenity=bank,CapitalOme Bank,amenity=bank,5,0
gemma3:12b,rag,brooklyn__34__crop_001,brooklyn,Royal Yard Food,amenity=restaurant,Royal Yard Food,amenity=restaurant,5,0
gemma3:12b,rag,brooklyn__34__crop_002,brooklyn,800 Candy Juice Bar,amenity=bar,800 Candy & duice Bar,amenity=restaurant,5,0
gemma3:12b,rag,brooklyn__35__crop_001,brooklyn,STARBUCKS COFFEE,amenity=cafe,STARBUCKS COFFEE,amenity=cafe,5,0
gemma3:12b,rag,brooklyn__36__crop_001,brooklyn,EL BARRIO BURRITOS,amenity=restaurant,El Barrio Burritos,amenity=fast_food,5,1
gemma3:12b,rag,brooklyn__36__crop_002,brooklyn,Nail Salon,shop=hairdresser,Nail salon,shop=beauty,5,0
gemma3:12b,rag,brooklyn__37__crop_001,brooklyn,E MARTIN SALES RENTALS,office=estate_agent,E. Martin Sales & Rentals,office=estate_agent,5,1
