model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag,rag_hits,in_db
gemma3:12b,vlmrag,brooklyn__100__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND DEPARTMENT STORES,shop=supermarket,5,1
gemma3:12b,vlmrag,brooklyn__100__crop_002,brooklyn,HIGH UNIVERSE,,HIGH UNIVERSE,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__10__crop_002,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,ELITE TAX SOLUTIONS INC.,office=company,5,0
gemma3:12b,vlmrag,brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__13__crop_001,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,9ROUND,leisure=fitness_centre,5,0
gemma3:12b,vlmrag,brooklyn__14__crop_002,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__15__crop_001,brooklyn,30 MIN KICKBOX FITNESS,leisure=fitness_centre,9ROUND,leisure=fitness_centre,5,0
gemma3:12b,vlmrag,brooklyn__15__crop_002,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=supermarket,5,0
gemma3:12b,vlmrag,brooklyn__16__crop_001,brooklyn,FLY WING E BIKE,shop=car_repair,Fly Wing E-Bike,shop=car_repair,5,1
gemma3:12b,vlmrag,brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,CAMBRIDGE & LEACH INC.,office=company,5,0
gemma3:12b,vlmrag,brooklyn__17__crop_001,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__17__crop_003,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone,5,0
gemma3:12b,vlmrag,brooklyn__18__crop_001,brooklyn,Dry Cleaning Service,shop=laundry,Champion Laundry & Dry Cleaning Service,shop=laundry,5,0
gemma3:12b,vlmrag,brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,shop=hairdresser,ABC II Barber Shop,shop=hairdresser,5,0
gemma3:12b,vlmrag,brooklyn__18__crop_003,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-BIKE,shop=motorcycle,5,1
gemma3:12b,vlmrag,brooklyn__19__crop_001,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone,5,0
gemma3:12b,vlmrag,brooklyn__1__crop_001,brooklyn,OFF THE GRILL,amenity=restaurant,OFF THE GRILL,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__20__crop_001,brooklyn,island pops,amenity=cafe,island pops,amenity=ice_cream,5,1
gemma3:12b,vlmrag,brooklyn__20__crop_002,brooklyn,EMS ACCOUNTING SERVICE,office=company,EMS Accounting Service Inc.,office=company,5,0
gemma3:12b,vlmrag,brooklyn__21__crop_001,brooklyn,Nostrands Nugs,shop=supermarket,Nostrand Nugs,unknown,5,0
gemma3:12b,vlmrag,brooklyn__21__crop_002,brooklyn,4 BROTHERS FOOD CORP,amenity=restaurant,4 BROTHERS FOOD CORP,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__23__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET,shop=supermarket,5,0
gemma3:12b,vlmrag,brooklyn__24__crop_001,brooklyn,RYERSON,amenity=restaurant,The Ryerson,amenity=bar,5,0
gemma3:12b,vlmrag,brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,Urban Market by Key Food,shop=supermarket,5,0
gemma3:12b,vlmrag,brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,the RYERSON,amenity=bar,5,0
gemma3:12b,vlmrag,brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,Shorty Candy,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,Galaxy Beauty Shop,shop=beauty,5,1
gemma3:12b,vlmrag,brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,CROWN DISCOUNT STORE & 99¢,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__2__crop_001,brooklyn,DUTCH CLEANERS,shop=laundry,DUTCH CLEANERS,shop=laundry,5,1
gemma3:12b,vlmrag,brooklyn__2__crop_002,brooklyn,VAPE N CLOUD,shop=smoke_shop,VAPE N CLOUD,shop=smoke_shop,5,1
gemma3:12b,vlmrag,brooklyn__2__crop_003,brooklyn,SPRINT REALTY INC,office=estate_agent,SPRINT REALTY INC.,office=estate_agent,5,0
gemma3:12b,vlmrag,brooklyn__30__crop_002,brooklyn,SHORT CANDY,shop=supermarket,Shorty Candy & Grocery Corp.,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__30__crop_003,brooklyn,812 CORP,shop=supermarket,812 CORP.,office=company,5,1
gemma3:12b,vlmrag,brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,Wise Deli & Grill,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__32__crop_001,brooklyn,SALS RESTAURANT,amenity=restaurant,Sal's Restaurant,restaurant,5,1
gemma3:12b,vlmrag,brooklyn__32__crop_002,brooklyn,EASTERN FRANKLIN WINES LIQUORS,amenity=bar,WINES & LIQUORS,shop=smoke_shop,5,1
gemma3:12b,vlmrag,brooklyn__32__crop_003,brooklyn,DUNKIN,shop=bakery,Dunkin' Donuts,amenity=fast_food,5,1
gemma3:12b,vlmrag,brooklyn__33__crop_001,brooklyn,Capital One Bank,amenity=bank,Capital One Bank,amenity=bank,5,0
gemma3:12b,vlmrag,brooklyn__34__crop_001,brooklyn,Royal Yard Food,amenity=restaurant,Royal Yard Food,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__34__crop_002,brooklyn,800 Candy Juice Bar,amenity=bar,800 Candy & Juice Bar,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__35__crop_001,brooklyn,STARBUCKS COFFEE,amenity=cafe,STARBUCKS COFFEE,amenity=cafe,5,0
gemma3:12b,vlmrag,brooklyn__36__crop_001,brooklyn,EL BARRIO BURRITOS,amenity=restaurant,El Barrio Burritos,amenity=fast_food,5,1
gemma3:12b,vlmrag,brooklyn__36__crop_002,brooklyn,Nail Salon,shop=hairdresser,Jun Nail Salon,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__37__crop_001,brooklyn,E MARTIN SALES RENTALS,office=estate_agent,E. Martin Sales & Rentals,office=estate_agent,5,1
gemma3:12b,vlmrag,brooklyn__37__crop_002,brooklyn,GRILL DELI,shop=convenience,Grill & Deli,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__38__crop_001,brooklyn,95 South,amenity=restaurant,95 South,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__38__crop_002,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy,5,0
gemma3:12b,vlmrag,brooklyn__38__crop_003,brooklyn,95 South,amenity=restaurant,95 South,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__38__crop_004,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy,5,0
gemma3:12b,vlmrag,brooklyn__3__crop_001,brooklyn,LAUNDROMAT,shop=laundry,LAUNDROMAT,shop=laundry,5,1
gemma3:12b,vlmrag,brooklyn__40__crop_001,brooklyn,SHEER MADNESS,shop=hairdresser,Sheer Madness,shop=hairdresser,5,1
gemma3:12b,vlmrag,brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,Franklin Express Laundry Center,shop=laundry,5,0
gemma3:12b,vlmrag,brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,Bagel Pub,amenity=fast_food,5,1
gemma3:12b,vlmrag,brooklyn__44__crop_001,brooklyn,SJ MARKET,shop=supermarket,SJ MARKET,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__45__crop_001,brooklyn,HAPPY WOK,amenity=restaurant,HAPPY WOK,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,NOOKLYN,office=estate_agent,5,1
gemma3:12b,vlmrag,brooklyn__47__crop_002,brooklyn,MISC,amenity=restaurant,MISC,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__48__crop_001,brooklyn,RESTAURANT,amenity=restaurant,Maria & Tony RESTAURANT,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__48__crop_002,brooklyn,DELI GROCERY,shop=convenience,Amigos Deli & Grocery,shop=convenience,5,1
gemma3:12b,vlmrag,brooklyn__49__crop_001,brooklyn,enterprise,amenity=car_rental,Enterprise rent-a-car,amenity=car_rental,5,1
gemma3:12b,vlmrag,brooklyn__49__crop_002,brooklyn,enterprise,amenity=car_rental,Enterprise rent-a-car,amenity=car_rental,5,1
gemma3:12b,vlmrag,brooklyn__4__crop_001,brooklyn,SuperMarket,shop=supermarket,SuperMarket Corp,shop=supermarket,5,0
gemma3:12b,vlmrag,brooklyn__50__crop_001,brooklyn,THE NEW ATLANTIC Restaurant,amenity=restaurant,The New Atlantic Restaurant,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__51__crop_001,brooklyn,enterprise,amenity=car_rental,Enterprise rent-a-car,amenity=car_rental,5,1
gemma3:12b,vlmrag,brooklyn__52__crop_001,brooklyn,StateFarm,office=company,State Farm,amenity=bank,5,1
gemma3:12b,vlmrag,brooklyn__54__crop_001,brooklyn,R FERRARO COLLISION,shop=car_repair,R. FERRARO COLLISION,shop=car_repair,5,0
gemma3:12b,vlmrag,brooklyn__54__crop_002,brooklyn,CAROUSEL BEVERAGES,amenity=bar,Carousel Beverages,amenity=bar,5,0
gemma3:12b,vlmrag,brooklyn__55__crop_001,brooklyn,MIGHTY QUINNS,amenity=restaurant,Mighty Quinn's,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__57__crop_001,brooklyn,CAROUSEL BEVERAGES,amenity=bar,CAROUSEL,amenity=bar,5,0
gemma3:12b,vlmrag,brooklyn__57__crop_003,brooklyn,Powerplay,leisure=fitness_centre,Powerplay,leisure=fitness_centre,5,0
gemma3:12b,vlmrag,brooklyn__58__crop_001,brooklyn,Powerplay,leisure=fitness_centre,Powerplay Activity Center,leisure=fitness_centre,5,0
gemma3:12b,vlmrag,brooklyn__59__crop_001,brooklyn,NEW MILLENNIUM MOTORS INC,shop=car_repair,"NEW MILLENNIUM MOTORS, INC.",shop=car_repair,5,0
gemma3:12b,vlmrag,brooklyn__5__crop_001,brooklyn,ROYAL BAKERY ROTI,shop=bakery,ROYAL BAKERY & ROTI INC.,shop=bakery,5,1
gemma3:12b,vlmrag,brooklyn__5__crop_002,brooklyn,Nostrand Gold Dealers,shop=jewelry,Nostrand Gold Dealers,shop=jewelry,5,0
gemma3:12b,vlmrag,brooklyn__60__crop_001,brooklyn,Powerplay,leisure=fitness_centre,Powerplay ACTIVITY CENTER,leisure=fitness_centre,5,0
gemma3:12b,vlmrag,brooklyn__60__crop_004,brooklyn,RISE DEVELOPMENT,office=estate_agent,RISE DEVELOPMENT,office=company,5,0
gemma3:12b,vlmrag,brooklyn__61__crop_001,brooklyn,DONATO,office=company,DONATO,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__61__crop_002,brooklyn,DONATO INC,office=company,DONATO INC. Plumbing & Heating,shop=hardware,5,0
gemma3:12b,vlmrag,brooklyn__62__crop_001,brooklyn,DRUG STORE,amenity=pharmacy,Franklin & Carroll DRUGS,amenity=pharmacy,5,0
gemma3:12b,vlmrag,brooklyn__63__crop_001,brooklyn,FOOD CENTER,amenity=restaurant,Brothers FOOD CENTER,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__63__crop_002,brooklyn,GRANDMA LAUNDRY CORNER INC,shop=laundry,GRANDMA LAUNDRY CORNER INC.,shop=laundry,5,0
gemma3:12b,vlmrag,brooklyn__64__crop_001,brooklyn,BEAUTY SALON,shop=hairdresser,BEAUTY SALON,shop=beauty,5,1
gemma3:12b,vlmrag,brooklyn__65__crop_001,brooklyn,HARDEE,amenity=fast_food,New HARDEE,amenity=fast_food,5,0
gemma3:12b,vlmrag,brooklyn__66__crop_001,brooklyn,DELI,shop=convenience,DELI INC.,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__66__crop_002,brooklyn,MOZEB,shop=supermarket,MOZEB,shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__68__crop_001,brooklyn,UNISEX SALON,shop=hairdresser,Hair We Are Unisex Salon,shop=hairdresser,5,0
gemma3:12b,vlmrag,brooklyn__68__crop_002,brooklyn,Franklin Eyecare,amenity=clinic,Franklin Eyecare,shop=optician,5,0
gemma3:12b,vlmrag,brooklyn__69__crop_001,brooklyn,AMY UNIQUE NAILS INC,shop=beauty,AMY UNIQUE NAILS INC.,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__69__crop_002,brooklyn,SMOK SHOP,shop=smoke_shop,SMOKE SHOP,shop=smoke_shop,5,0
gemma3:12b,vlmrag,brooklyn__69__crop_003,brooklyn,Lemon Grass,amenity=restaurant,Lemon Grass,restaurant,5,1
gemma3:12b,vlmrag,brooklyn__70__crop_001,brooklyn,JUICY KING CRAB,amenity=fast_food,Juicy King Crab Express,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__70__crop_002,brooklyn,JUICY KING CRAB,amenity=fast_food,Juicy King Crab Express,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__71__crop_001,brooklyn,NAILS,shop=beauty,Golden Nails,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__73__crop_001,brooklyn,POPEYES,amenity=fast_food,POPEYES,amenity=fast_food,5,1
gemma3:12b,vlmrag,brooklyn__73__crop_002,brooklyn,SuperFoodtown,shop=supermarket,Super Foodtown,shop=supermarket,5,0
gemma3:12b,vlmrag,brooklyn__75__crop_001,brooklyn,NEXT LEVEL Fashions,shop=clothes,NEXT LEVEL Fashions,shop=clothes,5,1
gemma3:12b,vlmrag,brooklyn__75__crop_002,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty,5,1
gemma3:12b,vlmrag,brooklyn__76__crop_001,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty,5,1
gemma3:12b,vlmrag,brooklyn__77__crop_001,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty,5,1
gemma3:12b,vlmrag,brooklyn__77__crop_002,brooklyn,Mini Market,shop=supermarket,Blessed Mini Market,shop=convenience,5,1
gemma3:12b,vlmrag,brooklyn__78__crop_001,brooklyn,MNS 99 CENTS UP INC,shop=supermarket,"MNS 99 CENTS & UP, INC",shop=convenience,5,0
gemma3:12b,vlmrag,brooklyn__79__crop_001,brooklyn,HAIR STUDIO,shop=hairdresser,HAIR STUDIO,shop=hairdresser,5,0
gemma3:12b,vlmrag,brooklyn__80__crop_001,brooklyn,FULTON,amenity=bar,Fulton Ale House,amenity=bar,5,0
gemma3:12b,vlmrag,brooklyn__80__crop_002,brooklyn,Soldier Restaurant Inc,amenity=restaurant,Soldier Restaurant Inc.,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__80__crop_003,brooklyn,HAIR STUDIO,shop=hairdresser,HAIR STUDIO,shop=hairdresser,5,0
gemma3:12b,vlmrag,brooklyn__81__crop_001,brooklyn,BEAUTY SUPPLY,shop=beauty,Oumou's Beauty Supply,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__83__crop_001,brooklyn,FULTON,amenity=bar,FULTON ALE HOUSE,amenity=bar,5,0
gemma3:12b,vlmrag,brooklyn__83__crop_002,brooklyn,A GUSTO,amenity=restaurant,A GUSTO Thai Bistro,amenity=restaurant,5,1
gemma3:12b,vlmrag,brooklyn__85__crop_002,brooklyn,LAUNDROMAT,shop=laundry,LAUNDROMAT,shop=laundry,5,1
gemma3:12b,vlmrag,brooklyn__86__crop_002,brooklyn,Dominos,amenity=fast_food,Domino's,amenity=fast_food,5,1
gemma3:12b,vlmrag,brooklyn__87__crop_001,brooklyn,DOG DAYCARE,amenity=veterinary,DOG DAYCARE,shop=pet,5,0
gemma3:12b,vlmrag,brooklyn__88__crop_001,brooklyn,Blooming Brows,shop=beauty,Blooming Brows,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__89__crop_001,brooklyn,Dreamer Nails,shop=beauty,Dreamer Nails,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__8__crop_001,brooklyn,NAILS,shop=beauty,Orchid Nails Salon,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__90__crop_001,brooklyn,AR POSTAL MULTISERVICES,amenity=post_office,AR POSTAL & MULTISERVICES,shop=post_office,5,0
gemma3:12b,vlmrag,brooklyn__91__crop_001,brooklyn,SOGHO HAIR Salon BRAIDING,shop=hairdresser,Sogho Express African Hair Braiding,shop=hairdresser,5,0
gemma3:12b,vlmrag,brooklyn__92__crop_002,brooklyn,NAIL,shop=beauty,NAIL,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__93__crop_001,brooklyn,BRAIDING STYLING,shop=hairdresser,AMINATA BRAIDING AND UNISEX HAIR SALON,shop=hairdresser,5,0
gemma3:12b,vlmrag,brooklyn__94__crop_001,brooklyn,RICKY S,amenity=restaurant,Original Ricky's,amenity=restaurant,5,0
gemma3:12b,vlmrag,brooklyn__94__crop_002,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,restaurant,5,0
gemma3:12b,vlmrag,brooklyn__94__crop_003,brooklyn,HARDWARE,shop=hardware,HARDWARE & DISCOUNT,shop=hardware,5,0
gemma3:12b,vlmrag,brooklyn__95__crop_001,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,restaurant,5,0
gemma3:12b,vlmrag,brooklyn__95__crop_002,brooklyn,HARDWARE,shop=hardware,HARDWARE & DISCOUNT,shop=hardware,5,0
gemma3:12b,vlmrag,brooklyn__96__crop_001,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,Rockaway Gourmet Deli & Grill,restaurant,5,0
gemma3:12b,vlmrag,brooklyn__97__crop_001,brooklyn,BEAUTY SUPPLY INC,shop=beauty,K&M BEAUTY SUPPLY INC.,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__97__crop_002,brooklyn,NAILS Inc,shop=beauty,New Pro Nails Inc.,shop=beauty,5,0
gemma3:12b,vlmrag,brooklyn__97__crop_003,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,Rockaway Gourmet Deli & Grill,amenity=restaurant,5,0
