model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag
qwen2.5vl:7b,vlm,brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,Galaxy Beauty Shop Inc.,shop=beauty
qwen2.5vl:7b,vlm,brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,9ROUND,leisure=fitness_centre
qwen2.5vl:7b,vlm,brooklyn__57__crop_001,brooklyn,CAROUSEL BEVERAGES,amenity=bar,,amenity=bar
qwen2.5vl:7b,vlm,brooklyn__49__crop_002,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental
qwen2.5vl:7b,vlm,brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,,shop
qwen2.5vl:7b,vlm,brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,WISE DELI & GRILL,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,theRYERSON,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__66__crop_002,brooklyn,MOZEB,shop=supermarket,,shop=bakery
qwen2.5vl:7b,vlm,brooklyn__71__crop_001,brooklyn,NAILS,shop=beauty,Golden 7 Nails,shop=beauty
qwen2.5vl:7b,vlm,brooklyn__89__crop_001,brooklyn,Dreamer Nails,shop=beauty,Dreamer Nails Inc.,shop=beauty
qwen2.5vl:7b,vlm,brooklyn__55__crop_001,brooklyn,MIGHTY QUINNS,amenity=restaurant,MIGHTY QUINN'S,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,CAMBRIDGE & LEACH INC.,shop
qwen2.5vl:7b,vlm,brooklyn__5__crop_002,brooklyn,Nostrand Gold Dealers,shop=jewelry,,shop=jewelry
qwen2.5vl:7b,vlm,brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,Bagel Pub,amenity=bar
qwen2.5vl:7b,vlm,brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,ELITE TAX SOLUTIONS INC.,shop
qwen2.5vl:7b,vlm,brooklyn__94__crop_003,brooklyn,HARDWARE,shop=hardware,,shop=hardware
qwen2.5vl:7b,vlm,brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,,shop=convenience
qwen2.5vl:7b,vlm,brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,CROWN DISCOUNT STORE & 99¢,shop=convenience
qwen2.5vl:7b,vlm,brooklyn__50__crop_001,brooklyn,THE NEW ATLANTIC Restaurant,amenity=restaurant,THE NEW ATLANTIC Restaurant,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__60__crop_004,brooklyn,RISE DEVELOPMENT,office=estate_agent,RISE DEVELOPMENT,shop
qwen2.5vl:7b,vlm,brooklyn__92__crop_002,brooklyn,NAIL,shop=beauty,,unknown
qwen2.5vl:7b,vlm,brooklyn__57__crop_003,brooklyn,Powerplay,leisure=fitness_centre,,shop
qwen2.5vl:7b,vlm,brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET BY KeyFood FRESH,shop=supermarket
qwen2.5vl:7b,vlm,brooklyn__69__crop_003,brooklyn,Lemon Grass,amenity=restaurant,Lemon Grass,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__64__crop_001,brooklyn,BEAUTY SALON,shop=hairdresser,,shop=beauty
qwen2.5vl:7b,vlm,brooklyn__69__crop_001,brooklyn,AMY UNIQUE NAILS INC,shop=beauty,AMY UNIQUE NAILS INC.,shop=beauty
qwen2.5vl:7b,vlm,brooklyn__95__crop_001,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,FRANKLIN EXPRESS LAUNDRY CENTER,shop=laundry
qwen2.5vl:7b,vlm,brooklyn__9__crop_001,brooklyn,JOHN GARDEN,amenity=restaurant,John Garden,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__98__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND DEPARTMENT STORES,shop
qwen2.5vl:7b,vlm,brooklyn__94__crop_002,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant
qwen2.5vl:7b,vlm,brooklyn__97__crop_003,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,Rockaway Gourmet Deli & Grill,amenity=restaurant
qwen2.5vl:7b,vlm,gangnam__10__crop_001,gangnam,HOTEL,tourism=hotel,,tourism=hotel
qwen2.5vl:7b,vlm,gangnam__43__crop_001,gangnam,7 ELEVEN,shop=convenience,7 ELEVEN,shop=convenience
qwen2.5vl:7b,vlm,gangnam__81__crop_001,gangnam,GS25,shop=convenience,GS25,shop=convenience
qwen2.5vl:7b,vlm,gangnam__71__crop_002,gangnam,맥주창고,amenity=bar,액투창고,shop
qwen2.5vl:7b,vlm,gangnam__62__crop_002,gangnam,MINISTOP,shop=convenience,MINISTOP,shop=convenience
qwen2.5vl:7b,vlm,gangnam__42__crop_001,gangnam,흑마늘족발 보쌈 순대국,amenity=restaurant,,restaurant
qwen2.5vl:7b,vlm,gangnam__55__crop_002,gangnam,ROYAL KITCHEN,amenity=restaurant,ROYAL KITCHEN,amenity=restaurant
qwen2.5vl:7b,vlm,gangnam__71__crop_001,gangnam,금초한의원,amenity=clinic,금초한의원,amenity=clinic
qwen2.5vl:7b,vlm,gangnam__32__crop_001,gangnam,IZAKAYA TAN,amenity=bar,IZAKAYA TAN,amenity=bar
qwen2.5vl:7b,vlm,gangnam__2__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,Herry's Coffee,amenity=cafe
qwen2.5vl:7b,vlm,gangnam__4__crop_001,gangnam,CASA JOVEN,amenity=bar,CASA JOVEN,amenity=cafe
qwen2.5vl:7b,vlm,gangnam__19__crop_001,gangnam,파파스레시피 2F,amenity=restaurant,파교츠레시피,amenity=restaurant
qwen2.5vl:7b,vlm,gangnam__47__crop_001,gangnam,나주,amenity=restaurant,나주가,shop
qwen2.5vl:7b,vlm,gangnam__98__crop_001,gangnam,KOREA POST,amenity=post_office,KOREA POST 우편취급국,amenity=post_office
qwen2.5vl:7b,vlm,gangnam__46__crop_001,gangnam,통돼지찌개집,amenity=restaurant,통돼지찌개집,shop=bakery
qwen2.5vl:7b,vlm,gangnam__66__crop_002,gangnam,으뜸 공인중개사,office=estate_agent,,shop
qwen2.5vl:7b,vlm,gangnam__37__crop_001,gangnam,eye scream,shop=optician,eye scream,shop=optician
qwen2.5vl:7b,vlm,gangnam__79__crop_002,gangnam,시래기국 깡장보리밥,amenity=restaurant,,shop=bakery
qwen2.5vl:7b,vlm,gangnam__12__crop_001,gangnam,럭셔리브라더스,office=company,럭셔리브라더스,shop
qwen2.5vl:7b,vlm,gangnam__74__crop_001,gangnam,밥타임,amenity=restaurant,밥타임,amenity=fast_food
qwen2.5vl:7b,vlm,gangnam__57__crop_001,gangnam,삼성서점,shop=books,대치 삼성서점,shop
qwen2.5vl:7b,vlm,gangnam__61__crop_001,gangnam,PAIK S COFFEE,amenity=cafe,PAIK'S COFFEE,amenity=cafe
qwen2.5vl:7b,vlm,gangnam__21__crop_001,gangnam,baskin BR robbins,amenity=ice_cream,baskinBRrobbins,amenity=ice_cream
qwen2.5vl:7b,vlm,gangnam__90__crop_001,gangnam,Nice to CU,shop=convenience,,amenity=cafe
qwen2.5vl:7b,vlm,gangnam__18__crop_001,gangnam,MLB,shop=clothes,,shop=bakery
qwen2.5vl:7b,vlm,gangnam__62__crop_001,gangnam,MINISTOP,shop=convenience,MINISTOP,shop=convenience
qwen2.5vl:7b,vlm,gangnam__40__crop_001,gangnam,로빈힐,amenity=bar,로빈힐,amenity=bar
qwen2.5vl:7b,vlm,gangnam__7__crop_003,gangnam,7 ELEVEN,shop=convenience,7 ELEVEN,shop=convenience
qwen2.5vl:7b,vlm,gangnam__68__crop_001,gangnam,by LYNN,shop=clothes,,shop=clothes
qwen2.5vl:7b,vlm,gangnam__67__crop_002,gangnam,천재 공인중개사,office=estate_agent,천재 공인중개사,shop=real_estate_agent
qwen2.5vl:7b,vlm,gangnam__48__crop_001,gangnam,FOOD,amenity=restaurant,,amenity=cafe
qwen2.5vl:7b,vlm,gangnam__64__crop_001,gangnam,SUSHI BROS,amenity=restaurant,SUSHI BROS,amenity=restaurant
qwen2.5vl:7b,vlm,gangnam__30__crop_001,gangnam,Emoi,amenity=restaurant,Emoi Vietnam Kitchen,amenity=restaurant
qwen2.5vl:7b,vlm,suwon__20__crop_002,suwon,권약국,amenity=pharmacy,,shop=bakery
qwen2.5vl:7b,vlm,suwon__17__crop_001,suwon,포장마차,amenity=bar,,shop=bakery
qwen2.5vl:7b,vlm,suwon__64__crop_001,suwon,곤드레밥집,amenity=restaurant,콘드레밥집,amenity=restaurant
qwen2.5vl:7b,vlm,suwon__2__crop_004,suwon,LaLa COIN,amenity=karaoke_box,,shop
qwen2.5vl:7b,vlm,suwon__73__crop_002,suwon,유치회관,amenity=restaurant,유치회관,amenity=restaurant
qwen2.5vl:7b,vlm,suwon__36__crop_002,suwon,지하철,amenity=bar,지하철,amenity=bar
qwen2.5vl:7b,vlm,suwon__16__crop_001,suwon,골드문주차장,amenity=parking,,amenity=parking
qwen2.5vl:7b,vlm,suwon__82__crop_001,suwon,시골집,amenity=restaurant,,shop=bakery
qwen2.5vl:7b,vlm,suwon__97__crop_001,suwon,어구미,amenity=restaurant,,shop=bakery
qwen2.5vl:7b,vlm,suwon__83__crop_001,suwon,시온성,amenity=restaurant,시온성,amenity=restaurant
qwen2.5vl:7b,vlm,suwon__18__crop_001,suwon,삼정세탁,shop=laundry,삼정세탁,shop=laundry
qwen2.5vl:7b,vlm,suwon__42__crop_003,suwon,아리랑,amenity=restaurant,아리랑 빈대떡,shop=bakery
qwen2.5vl:7b,vlm,suwon__35__crop_001,suwon,용인 전통 순대국,amenity=restaurant,용인 전통 순대국,shop=fast_food
qwen2.5vl:7b,vlm,suwon__48__crop_001,suwon,황소고집,amenity=restaurant,황소고집 한우곱창,amenity=restaurant
qwen2.5vl:7b,vlm,suwon__62__crop_001,suwon,권약국,amenity=pharmacy,,shop=bakery
qwen2.5vl:7b,vlm,suwon__79__crop_001,suwon,소원식당,amenity=restaurant,,unknown
qwen2.5vl:7b,vlm,suwon__42__crop_001,suwon,BAR \BOBOS,amenity=bar,BAR Bobos,amenity=bar
qwen2.5vl:7b,vlm,suwon__23__crop_001,suwon,백학다방,amenity=cafe,백학다방,shop=bakery
qwen2.5vl:7b,vlm,suwon__42__crop_002,suwon,두리아족보쌈,amenity=restaurant,두리아쪽보쌈,shop=bakery
qwen2.5vl:7b,vlm,suwon__41__crop_001,suwon,한라돈,amenity=restaurant,한라돈,shop
qwen2.5vl:7b,vlm,suwon__29__crop_001,suwon,MALU HOTEL,tourism=hotel,MALU HOTEL,tourism=hotel
qwen2.5vl:7b,vlm,suwon__65__crop_001,suwon,대우 마이홈,office=estate_agent,대우 마이홈,office=estate_agent
qwen2.5vl:7b,vlm,suwon__34__crop_001,suwon,쪽갈비전문점 예감,amenity=restaurant,쪽갈비전문점 예감!,amenity=fast_food
qwen2.5vl:7b,vlm,suwon__66__crop_002,suwon,VALENTI,shop=clothes,,shop
qwen2.5vl:7b,vlm,suwon__65__crop_003,suwon,VALE,,,shop
qwen2.5vl:7b,vlm,suwon__62__crop_002,suwon,권약국,amenity=pharmacy,,unknown
qwen2.5vl:7b,vlm,suwon__15__crop_001,suwon,커리어 헤어 디자인,shop=hairdresser,,shop=hairdresser
qwen2.5vl:7b,vlm,suwon__60__crop_001,suwon,한빛약국,amenity=pharmacy,,unknown
qwen2.5vl:7b,vlm,suwon__86__crop_001,suwon,수입 엔틱 가구,shop=furniture,수입엔틱가구,shop=furniture
qwen2.5vl:7b,vlm,suwon__25__crop_001,suwon,로맨틱 커피숍,amenity=cafe,로맨틱 커피숍 맥주 호프,amenity=cafe
qwen2.5vl:7b,vlm,suwon__55__crop_001,suwon,엽기떡볶이,amenity=fast_food,불닭발 동대문 엽기떡볶이,amenity=fast_food
qwen2.5vl:7b,vlm,suwon__70__crop_001,suwon,신성공업사,shop=car_repair,신성공업사,shop=car_repair
qwen2.5vl:7b,vlm,suwon__31__crop_001,suwon,두부해물마을,amenity=restaurant,두부해물마을,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,,shop=beauty
qwen2.5vl:7b,text,brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,,leisure=fitness_centre
qwen2.5vl:7b,text,brooklyn__57__crop_001,brooklyn,CAROUSEL BEVERAGES,amenity=bar,,amenity=bar
qwen2.5vl:7b,text,brooklyn__49__crop_002,brooklyn,enterprise,amenity=car_rental,,amenity=car_rental
qwen2.5vl:7b,text,brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,,shop=books
qwen2.5vl:7b,text,brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,,shop=books
qwen2.5vl:7b,text,brooklyn__66__crop_002,brooklyn,MOZEB,shop=supermarket,,shop=bakery
qwen2.5vl:7b,text,brooklyn__71__crop_001,brooklyn,NAILS,shop=beauty,,shop=beauty
qwen2.5vl:7b,text,brooklyn__89__crop_001,brooklyn,Dreamer Nails,shop=beauty,Dreamer Nails / Inc.,shop=beauty
qwen2.5vl:7b,text,brooklyn__55__crop_001,brooklyn,MIGHTY QUINNS,amenity=restaurant,,shop=smoke_shop
qwen2.5vl:7b,text,brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,,unknown
qwen2.5vl:7b,text,brooklyn__5__crop_002,brooklyn,Nostrand Gold Dealers,shop=jewelry,,shop=jewelry
qwen2.5vl:7b,text,brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,Bagel Pub,amenity=bar
qwen2.5vl:7b,text,brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,,shop
qwen2.5vl:7b,text,brooklyn__94__crop_003,brooklyn,HARDWARE,shop=hardware,,shop=hardware
qwen2.5vl:7b,text,brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,,shop
qwen2.5vl:7b,text,brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,,shop
qwen2.5vl:7b,text,brooklyn__50__crop_001,brooklyn,THE NEW ATLANTIC Restaurant,amenity=restaurant,THE NEW ATLANTIC Restaurant,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__60__crop_004,brooklyn,RISE DEVELOPMENT,office=estate_agent,,shop
qwen2.5vl:7b,text,brooklyn__92__crop_002,brooklyn,NAIL,shop=beauty,,unknown
qwen2.5vl:7b,text,brooklyn__57__crop_003,brooklyn,Powerplay,leisure=fitness_centre,,leisure=fitness_centre
qwen2.5vl:7b,text,brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,,shop=supermarket
qwen2.5vl:7b,text,brooklyn__69__crop_003,brooklyn,Lemon Grass,amenity=restaurant,,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__64__crop_001,brooklyn,BEAUTY SALON,shop=hairdresser,,shop=beauty
qwen2.5vl:7b,text,brooklyn__69__crop_001,brooklyn,AMY UNIQUE NAILS INC,shop=beauty,AMY UNIQUE NAILS INC.,shop=beauty
qwen2.5vl:7b,text,brooklyn__95__crop_001,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,,shop=laundry
qwen2.5vl:7b,text,brooklyn__9__crop_001,brooklyn,JOHN GARDEN,amenity=restaurant,,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__98__crop_001,brooklyn,BARGAINLAND,shop=supermarket,,shop=supermarket
qwen2.5vl:7b,text,brooklyn__94__crop_002,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant
qwen2.5vl:7b,text,brooklyn__97__crop_003,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,,amenity=gourmet_deli
qwen2.5vl:7b,text,gangnam__10__crop_001,gangnam,HOTEL,tourism=hotel,,tourism=hotel
qwen2.5vl:7b,text,gangnam__43__crop_001,gangnam,7 ELEVEN,shop=convenience,,amenity=cafe
qwen2.5vl:7b,text,gangnam__81__crop_001,gangnam,GS25,shop=convenience,,shop=convenience
qwen2.5vl:7b,text,gangnam__71__crop_002,gangnam,맥주창고,amenity=bar,,shop
qwen2.5vl:7b,text,gangnam__62__crop_002,gangnam,MINISTOP,shop=convenience,,unknown
qwen2.5vl:7b,text,gangnam__42__crop_001,gangnam,흑마늘족발 보쌈 순대국,amenity=restaurant,,shop
qwen2.5vl:7b,text,gangnam__55__crop_002,gangnam,ROYAL KITCHEN,amenity=restaurant,로얄키친,amenity=restaurant
qwen2.5vl:7b,text,gangnam__71__crop_001,gangnam,금초한의원,amenity=clinic,금초한의원,amenity=clinic
qwen2.5vl:7b,text,gangnam__32__crop_001,gangnam,IZAKAYA TAN,amenity=bar,,amenity=bar
qwen2.5vl:7b,text,gangnam__2__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,HERRY'S COFFEE,amenity=cafe
qwen2.5vl:7b,text,gangnam__4__crop_001,gangnam,CASA JOVEN,amenity=bar,,shop
qwen2.5vl:7b,text,gangnam__19__crop_001,gangnam,파파스레시피 2F,amenity=restaurant,,amenity=fast_food
qwen2.5vl:7b,text,gangnam__47__crop_001,gangnam,나주,amenity=restaurant,,shop
qwen2.5vl:7b,text,gangnam__98__crop_001,gangnam,KOREA POST,amenity=post_office,,amenity=post_office
qwen2.5vl:7b,text,gangnam__46__crop_001,gangnam,통돼지찌개집,amenity=restaurant,,amenity=restaurant
qwen2.5vl:7b,text,gangnam__66__crop_002,gangnam,으뜸 공인중개사,office=estate_agent,,office=estate_agent
qwen2.5vl:7b,text,gangnam__37__crop_001,gangnam,eye scream,shop=optician,,shop=optician
qwen2.5vl:7b,text,gangnam__79__crop_002,gangnam,시래기국 깡장보리밥,amenity=restaurant,,shop
qwen2.5vl:7b,text,gangnam__12__crop_001,gangnam,럭셔리브라더스,office=company,,shop
qwen2.5vl:7b,text,gangnam__74__crop_001,gangnam,밥타임,amenity=restaurant,,amenity=fast_food
qwen2.5vl:7b,text,gangnam__57__crop_001,gangnam,삼성서점,shop=books,,shop=books
qwen2.5vl:7b,text,gangnam__61__crop_001,gangnam,PAIK S COFFEE,amenity=cafe,PAIK'S COFFEE,amenity=cafe
qwen2.5vl:7b,text,gangnam__21__crop_001,gangnam,baskin BR robbins,amenity=ice_cream,,shop=bakery
qwen2.5vl:7b,text,gangnam__90__crop_001,gangnam,Nice to CU,shop=convenience,,amenity=unknown
qwen2.5vl:7b,text,gangnam__18__crop_001,gangnam,MLB,shop=clothes,,unknown
qwen2.5vl:7b,text,gangnam__62__crop_001,gangnam,MINISTOP,shop=convenience,,amenity=fast_food
qwen2.5vl:7b,text,gangnam__40__crop_001,gangnam,로빈힐,amenity=bar,,amenity=bar
